pathway	DB	n	statistic	df	p	method
Antigen activates B Cell Receptor (BCR) leading to generation of second messengers Homo sapiens R-HSA-983695	Reactome_2016	63	2.87114197530866	1	0.0902	Kruskal-Wallis
Antigen Presentation: Folding, assembly and peptide loading of class I MHC Homo sapiens R-HSA-983170	Reactome_2016	63	0.0493827160493936	1	0.824	Kruskal-Wallis
Antigen processing-Cross presentation Homo sapiens R-HSA-1236975	Reactome_2016	63	0.00308641975308888	1	0.956	Kruskal-Wallis
Antigen processing: Ubiquitination & Proteasome degradation Homo sapiens R-HSA-983168	Reactome_2016	63	0.671489197530889	1	0.413	Kruskal-Wallis
Antiviral mechanism by IFN-stimulated genes Homo sapiens R-HSA-1169410	Reactome_2016	63	0.00482253086420315	1	0.945	Kruskal-Wallis
APC-Cdc20 mediated degradation of Nek2A Homo sapiens R-HSA-179409	Reactome_2016	63	0.278549382716051	1	0.598	Kruskal-Wallis
APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint Homo sapiens R-HSA-179419	Reactome_2016	63	0.0557484567901554	1	0.813	Kruskal-Wallis
APC/C-mediated degradation of cell cycle proteins Homo sapiens R-HSA-174143	Reactome_2016	63	0.23630401234567	1	0.627	Kruskal-Wallis
APC/C:Cdc20 mediated degradation of Cyclin B Homo sapiens R-HSA-174048	Reactome_2016	63	0.865933641975317	1	0.352	Kruskal-Wallis
APC/C:Cdc20 mediated degradation of mitotic proteins Homo sapiens R-HSA-176409	Reactome_2016	63	0.0850694444444571	1	0.771	Kruskal-Wallis
APC/C:Cdc20 mediated degradation of Securin Homo sapiens R-HSA-174154	Reactome_2016	63	0.111111111111114	1	0.739	Kruskal-Wallis
APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1 Homo sapiens R-HSA-174178	Reactome_2016	63	0.185378086419774	1	0.667	Kruskal-Wallis
Apoptosis Homo sapiens R-HSA-109581	Reactome_2016	63	0.25	1	0.617	Kruskal-Wallis
Apoptotic cleavage of cellular proteins Homo sapiens R-HSA-111465	Reactome_2016	63	2.16743827160491	1	0.141	Kruskal-Wallis
Apoptotic execution  phase Homo sapiens R-HSA-75153	Reactome_2016	63	2.59567901234567	1	0.107	Kruskal-Wallis
Aquaporin-mediated transport Homo sapiens R-HSA-445717	Reactome_2016	63	0.293402777777771	1	0.588	Kruskal-Wallis
Arachidonic acid metabolism Homo sapiens R-HSA-2142753	Reactome_2016	63	0.00173611111111427	1	0.967	Kruskal-Wallis
ARMS-mediated activation Homo sapiens R-HSA-170984	Reactome_2016	63	0.671489197530889	1	0.413	Kruskal-Wallis
Asparagine N-linked glycosylation Homo sapiens R-HSA-446203	Reactome_2016	63	0.694444444444457	1	0.405	Kruskal-Wallis
Assembly of collagen fibrils and other multimeric structures Homo sapiens R-HSA-2022090	Reactome_2016	63	0.25	1	0.617	Kruskal-Wallis
Assembly of the pre-replicative complex Homo sapiens R-HSA-68867	Reactome_2016	63	0.293402777777771	1	0.588	Kruskal-Wallis
Assembly of the primary cilium Homo sapiens R-HSA-5617833	Reactome_2016	63	2.08641975308643	1	0.149	Kruskal-Wallis
Association of licensing factors with the pre-replicative complex Homo sapiens R-HSA-69298	Reactome_2016	63	1.1141975308642	1	0.291	Kruskal-Wallis
Association of TriC/CCT with target proteins during biosynthesis Homo sapiens R-HSA-390471	Reactome_2016	63	0.671489197530889	1	0.413	Kruskal-Wallis
Asymmetric localization of PCP proteins Homo sapiens R-HSA-4608870	Reactome_2016	63	0.426118827160508	1	0.514	Kruskal-Wallis
ATF4 activates genes Homo sapiens R-HSA-380994	Reactome_2016	63	0.0850694444444571	1	0.771	Kruskal-Wallis
Attenuation phase Homo sapiens R-HSA-3371568	Reactome_2016	63	4.16840277777777	1	0.0412	Kruskal-Wallis
AUF1 (hnRNP D0) binds and destabilizes mRNA Homo sapiens R-HSA-450408	Reactome_2016	63	0	1	1	Kruskal-Wallis
AURKA Activation by TPX2 Homo sapiens R-HSA-8854518	Reactome_2016	63	0.648919753086432	1	0.42	Kruskal-Wallis
Autodegradation of Cdh1 by Cdh1:APC/C Homo sapiens R-HSA-174084	Reactome_2016	63	0.741512345679013	1	0.389	Kruskal-Wallis
Autodegradation of the E3 ubiquitin ligase COP1 Homo sapiens R-HSA-349425	Reactome_2016	63	0.0625	1	0.803	Kruskal-Wallis
Axon guidance Homo sapiens R-HSA-422475	Reactome_2016	63	0.00694444444445708	1	0.934	Kruskal-Wallis
B-WICH complex positively regulates rRNA expression Homo sapiens R-HSA-5250924	Reactome_2016	63	1.23456790123456	1	0.267	Kruskal-Wallis
Base Excision Repair Homo sapiens R-HSA-73884	Reactome_2016	63	1.14371141975309	1	0.285	Kruskal-Wallis
Basigin interactions Homo sapiens R-HSA-210991	Reactome_2016	63	0.694444444444457	1	0.405	Kruskal-Wallis
BBSome-mediated cargo-targeting to cilium Homo sapiens R-HSA-5620922	Reactome_2016	63	1.20389660493825	1	0.273	Kruskal-Wallis
Beta-catenin independent WNT signaling Homo sapiens R-HSA-3858494	Reactome_2016	63	1.08506944444446	1	0.298	Kruskal-Wallis
Beta-catenin phosphorylation cascade Homo sapiens R-HSA-196299	Reactome_2016	63	0.173611111111114	1	0.677	Kruskal-Wallis
Bile acid and bile salt metabolism Homo sapiens R-HSA-194068	Reactome_2016	63	0.00019290123455562	1	0.989	Kruskal-Wallis
Binding and Uptake of Ligands by Scavenger Receptors Homo sapiens R-HSA-2173782	Reactome_2016	63	0.671489197530889	1	0.413	Kruskal-Wallis
Biological oxidations Homo sapiens R-HSA-211859	Reactome_2016	63	0.0277777777777715	1	0.868	Kruskal-Wallis
Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein Homo sapiens R-HSA-446193	Reactome_2016	63	1.74093364197532	1	0.187	Kruskal-Wallis
BMAL1:CLOCK,NPAS2 activates circadian gene expression Homo sapiens R-HSA-1368108	Reactome_2016	63	0.00019290123455562	1	0.989	Kruskal-Wallis
Branched-chain amino acid catabolism Homo sapiens R-HSA-70895	Reactome_2016	63	0.140625	1	0.708	Kruskal-Wallis
Budding and maturation of HIV virion Homo sapiens R-HSA-162588	Reactome_2016	63	1.1141975308642	1	0.291	Kruskal-Wallis
Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA Homo sapiens R-HSA-450385	Reactome_2016	63	0.0378086419753174	1	0.846	Kruskal-Wallis
C-type lectin receptors (CLRs) Homo sapiens R-HSA-5621481	Reactome_2016	63	0.0850694444444571	1	0.771	Kruskal-Wallis
Ca-dependent events Homo sapiens R-HSA-111996	Reactome_2016	63	2.04648919753089	1	0.153	Kruskal-Wallis
Ca2+ pathway Homo sapiens R-HSA-4086398	Reactome_2016	63	0.00173611111111427	1	0.967	Kruskal-Wallis
Calmodulin induced events Homo sapiens R-HSA-111933	Reactome_2016	63	2.41975308641977	1	0.12	Kruskal-Wallis
Calnexin/calreticulin cycle Homo sapiens R-HSA-901042	Reactome_2016	63	0.945216049382708	1	0.331	Kruskal-Wallis
CaM pathway Homo sapiens R-HSA-111997	Reactome_2016	63	2.41975308641977	1	0.12	Kruskal-Wallis
Cap-dependent Translation Initiation Homo sapiens R-HSA-72737	Reactome_2016	63	0.293402777777771	1	0.588	Kruskal-Wallis
Cardiac conduction Homo sapiens R-HSA-5576891	Reactome_2016	63	1.29706790123456	1	0.255	Kruskal-Wallis
Cargo concentration in the ER Homo sapiens R-HSA-5694530	Reactome_2016	63	0.00308641975308888	1	0.956	Kruskal-Wallis
Cargo trafficking to the periciliary membrane Homo sapiens R-HSA-5620920	Reactome_2016	63	1.66840277777777	1	0.196	Kruskal-Wallis
Caspase activation via extrinsic apoptotic signalig pathway Homo sapiens R-HSA-5357769	Reactome_2016	63	0.015625	1	0.901	Kruskal-Wallis
CD209 (DC-SIGN) signaling Homo sapiens R-HSA-5621575	Reactome_2016	63	0.102044753086432	1	0.749	Kruskal-Wallis
CD22 mediated BCR regulation Homo sapiens R-HSA-5690714	Reactome_2016	63	2.16743827160491	1	0.141	Kruskal-Wallis
CD28 co-stimulation Homo sapiens R-HSA-389356	Reactome_2016	63	0.765625	1	0.382	Kruskal-Wallis
CD28 dependent PI3K/Akt signaling Homo sapiens R-HSA-389357	Reactome_2016	63	0.5625	1	0.453	Kruskal-Wallis
Cdc20:Phospho-APC/C mediated degradation of Cyclin A Homo sapiens R-HSA-174184	Reactome_2016	63	0.0493827160493936	1	0.824	Kruskal-Wallis
CDK-mediated phosphorylation and removal of Cdc6 Homo sapiens R-HSA-69017	Reactome_2016	63	0.130401234567898	1	0.718	Kruskal-Wallis
CDO in myogenesis Homo sapiens R-HSA-375170	Reactome_2016	63	0.293402777777771	1	0.588	Kruskal-Wallis
CDT1 association with the CDC6:ORC:origin complex Homo sapiens R-HSA-68827	Reactome_2016	63	0.23630401234567	1	0.627	Kruskal-Wallis
Cell Cycle Checkpoints Homo sapiens R-HSA-69620	Reactome_2016	63	0.918402777777771	1	0.338	Kruskal-Wallis
Cell Cycle Homo sapiens R-HSA-1640170	Reactome_2016	63	0.713580246913608	1	0.398	Kruskal-Wallis
Cell Cycle, Mitotic Homo sapiens R-HSA-69278	Reactome_2016	63	0.555555555555543	1	0.456	Kruskal-Wallis
Cell death signalling via NRAGE, NRIF and NADE Homo sapiens R-HSA-204998	Reactome_2016	63	0.30864197530866	1	0.579	Kruskal-Wallis
Cell junction organization Homo sapiens R-HSA-446728	Reactome_2016	63	2.96604938271605	1	0.085	Kruskal-Wallis
Cell surface interactions at the vascular wall Homo sapiens R-HSA-202733	Reactome_2016	63	0.00308641975308888	1	0.956	Kruskal-Wallis
Cell-Cell communication Homo sapiens R-HSA-1500931	Reactome_2016	63	0.5625	1	0.453	Kruskal-Wallis
Cell-cell junction organization Homo sapiens R-HSA-421270	Reactome_2016	63	3.31037808641977	1	0.0688	Kruskal-Wallis
Cell-extracellular matrix interactions Homo sapiens R-HSA-446353	Reactome_2016	63	0.0192901234568126	1	0.89	Kruskal-Wallis
Cellular response to heat stress Homo sapiens R-HSA-3371556	Reactome_2016	63	4.28260030864197	1	0.0385	Kruskal-Wallis
Cellular response to hypoxia Homo sapiens R-HSA-2262749	Reactome_2016	63	0.741512345679013	1	0.389	Kruskal-Wallis
Cellular responses to stress Homo sapiens R-HSA-2262752	Reactome_2016	63	0.25	1	0.617	Kruskal-Wallis
Cellular Senescence Homo sapiens R-HSA-2559583	Reactome_2016	63	0.0192901234568126	1	0.89	Kruskal-Wallis
Centrosome maturation Homo sapiens R-HSA-380287	Reactome_2016	63	0.356674382716051	1	0.55	Kruskal-Wallis
cGMP effects Homo sapiens R-HSA-418457	Reactome_2016	63	2.87114197530866	1	0.0902	Kruskal-Wallis
Chaperonin-mediated protein folding Homo sapiens R-HSA-390466	Reactome_2016	63	0.173611111111114	1	0.677	Kruskal-Wallis
Chemokine receptors bind chemokines Homo sapiens R-HSA-380108	Reactome_2016	63	0.00019290123455562	1	0.989	Kruskal-Wallis
Cholesterol biosynthesis Homo sapiens R-HSA-191273	Reactome_2016	63	0.32426697530866	1	0.569	Kruskal-Wallis
Chondroitin sulfate biosynthesis Homo sapiens R-HSA-2022870	Reactome_2016	63	0.023341049382708	1	0.879	Kruskal-Wallis
Chondroitin sulfate/dermatan sulfate metabolism Homo sapiens R-HSA-1793185	Reactome_2016	63	0.222993827160508	1	0.637	Kruskal-Wallis
Chromatin modifying enzymes Homo sapiens R-HSA-3247509	Reactome_2016	63	1.23456790123456	1	0.267	Kruskal-Wallis
Chromatin organization Homo sapiens R-HSA-4839726	Reactome_2016	63	1.23456790123456	1	0.267	Kruskal-Wallis
Chromosome Maintenance Homo sapiens R-HSA-73886	Reactome_2016	63	0.765625	1	0.382	Kruskal-Wallis
Chylomicron-mediated lipid transport Homo sapiens R-HSA-174800	Reactome_2016	63	1.1141975308642	1	0.291	Kruskal-Wallis
Circadian Clock Homo sapiens R-HSA-400253	Reactome_2016	63	0.102044753086432	1	0.749	Kruskal-Wallis
Citric acid cycle (TCA cycle) Homo sapiens R-HSA-71403	Reactome_2016	63	0.140625	1	0.708	Kruskal-Wallis
Class A/1 (Rhodopsin-like receptors) Homo sapiens R-HSA-373076	Reactome_2016	63	0.00482253086420315	1	0.945	Kruskal-Wallis
Class B/2 (Secretin family receptors) Homo sapiens R-HSA-373080	Reactome_2016	63	0.972415123456784	1	0.324	Kruskal-Wallis
Class C/3 (Metabotropic glutamate/pheromone receptors) Homo sapiens R-HSA-420499	Reactome_2016	63	0.945216049382708	1	0.331	Kruskal-Wallis
Class I MHC mediated antigen processing & presentation Homo sapiens R-HSA-983169	Reactome_2016	63	0.293402777777771	1	0.588	Kruskal-Wallis
Classical antibody-mediated complement activation Homo sapiens R-HSA-173623	Reactome_2016	63	3.21006944444449	1	0.0732	Kruskal-Wallis
Clathrin derived vesicle budding Homo sapiens R-HSA-421837	Reactome_2016	63	0	1	1	Kruskal-Wallis
Cleavage of Growing Transcript in the Termination Region Homo sapiens R-HSA-109688	Reactome_2016	63	0.000771604938250903	1	0.978	Kruskal-Wallis
CLEC7A (Dectin-1) signaling Homo sapiens R-HSA-5607764	Reactome_2016	63	0.0557484567901554	1	0.813	Kruskal-Wallis
Cobalamin (Cbl, vitamin B12) transport and metabolism Homo sapiens R-HSA-196741	Reactome_2016	63	0.5625	1	0.453	Kruskal-Wallis
Collagen biosynthesis and modifying enzymes Homo sapiens R-HSA-1650814	Reactome_2016	63	0.463155864197546	1	0.496	Kruskal-Wallis
Collagen degradation Homo sapiens R-HSA-1442490	Reactome_2016	63	0.694444444444457	1	0.405	Kruskal-Wallis
Collagen formation Homo sapiens R-HSA-1474290	Reactome_2016	63	0.604938271604908	1	0.437	Kruskal-Wallis
Common Pathway of Fibrin Clot Formation Homo sapiens R-HSA-140875	Reactome_2016	63	2.33410493827157	1	0.127	Kruskal-Wallis
Complement cascade Homo sapiens R-HSA-166658	Reactome_2016	63	2.68595679012344	1	0.101	Kruskal-Wallis
Complex I biogenesis Homo sapiens R-HSA-6799198	Reactome_2016	63	0.37345679012347	1	0.541	Kruskal-Wallis
Constitutive Signaling by Aberrant PI3K in Cancer Homo sapiens R-HSA-2219530	Reactome_2016	63	0.185378086419774	1	0.667	Kruskal-Wallis
Constitutive Signaling by AKT1 E17K in Cancer Homo sapiens R-HSA-5674400	Reactome_2016	63	1.23456790123456	1	0.267	Kruskal-Wallis
Constitutive Signaling by EGFRvIII Homo sapiens R-HSA-5637810	Reactome_2016	63	0.0378086419753174	1	0.846	Kruskal-Wallis
Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants Homo sapiens R-HSA-1236382	Reactome_2016	63	0.0933641975308888	1	0.76	Kruskal-Wallis
Constitutive Signaling by NOTCH1 HD Domain Mutants Homo sapiens R-HSA-2691232	Reactome_2016	63	0.210069444444457	1	0.647	Kruskal-Wallis
Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants Homo sapiens R-HSA-2894862	Reactome_2016	63	0.648919753086432	1	0.42	Kruskal-Wallis
Constitutive Signaling by NOTCH1 PEST Domain Mutants Homo sapiens R-HSA-2644606	Reactome_2016	63	0.648919753086432	1	0.42	Kruskal-Wallis
Conversion from APC/C:Cdc20 to APC/C:Cdh1 in late anaphase Homo sapiens R-HSA-176407	Reactome_2016	63	0.521604938271565	1	0.47	Kruskal-Wallis
Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding Homo sapiens R-HSA-6814122	Reactome_2016	63	0.717785493827165	1	0.397	Kruskal-Wallis
Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding Homo sapiens R-HSA-389958	Reactome_2016	63	1.81500771604939	1	0.178	Kruskal-Wallis
COPI-dependent Golgi-to-ER retrograde traffic Homo sapiens R-HSA-6811434	Reactome_2016	63	1.890625	1	0.169	Kruskal-Wallis
COPI-independent Golgi-to-ER retrograde traffic Homo sapiens R-HSA-6811436	Reactome_2016	63	9	1	0.0027	Kruskal-Wallis
COPI-mediated anterograde transport Homo sapiens R-HSA-6807878	Reactome_2016	63	0.40817901234567	1	0.523	Kruskal-Wallis
COPII (Coat Protein 2) Mediated Vesicle Transport Homo sapiens R-HSA-204005	Reactome_2016	63	0.0192901234568126	1	0.89	Kruskal-Wallis
Costimulation by the CD28 family Homo sapiens R-HSA-388841	Reactome_2016	63	0.111111111111114	1	0.739	Kruskal-Wallis
Creation of C4 and C2 activators Homo sapiens R-HSA-166786	Reactome_2016	63	3.5679012345679	1	0.0589	Kruskal-Wallis
CREB phosphorylation through the activation of CaMKII Homo sapiens R-HSA-442729	Reactome_2016	63	3.515625	1	0.0608	Kruskal-Wallis
CREB phosphorylation through the activation of Ras Homo sapiens R-HSA-442742	Reactome_2016	63	1.17361111111111	1	0.279	Kruskal-Wallis
CRMPs in Sema3A signaling Homo sapiens R-HSA-399956	Reactome_2016	63	0.162229938271565	1	0.687	Kruskal-Wallis
Cross-presentation of soluble exogenous antigens (endosomes) Homo sapiens R-HSA-1236978	Reactome_2016	63	0.0192901234568126	1	0.89	Kruskal-Wallis
CTLA4 inhibitory signaling Homo sapiens R-HSA-389513	Reactome_2016	63	0.120563271604908	1	0.728	Kruskal-Wallis
Cyclin A:Cdk2-associated events at S phase entry Homo sapiens R-HSA-69656	Reactome_2016	63	0.765625	1	0.382	Kruskal-Wallis
Cyclin A/B1 associated events during G2/M transition Homo sapiens R-HSA-69273	Reactome_2016	63	0.37345679012347	1	0.541	Kruskal-Wallis
Cyclin D associated events in G1 Homo sapiens R-HSA-69231	Reactome_2016	63	1.46006944444446	1	0.227	Kruskal-Wallis
Cyclin E associated events during G1/S transition Homo sapiens R-HSA-69202	Reactome_2016	63	1.02797067901233	1	0.311	Kruskal-Wallis
Cytochrome P450 - arranged by substrate type Homo sapiens R-HSA-211897	Reactome_2016	63	0.173611111111114	1	0.677	Kruskal-Wallis
Cytokine Signaling in Immune system Homo sapiens R-HSA-1280215	Reactome_2016	63	0.426944971537011	1	0.513	Kruskal-Wallis
Cytosolic sensors of pathogen-associated DNA Homo sapiens R-HSA-1834949	Reactome_2016	63	0.0434027777777715	1	0.835	Kruskal-Wallis
Cytosolic sulfonation of small molecules Homo sapiens R-HSA-156584	Reactome_2016	63	1	1	0.317	Kruskal-Wallis
DAG and IP3 signaling Homo sapiens R-HSA-1489509	Reactome_2016	63	1.66840277777777	1	0.196	Kruskal-Wallis
DAP12 interactions Homo sapiens R-HSA-2172127	Reactome_2016	63	0.197530864197546	1	0.657	Kruskal-Wallis
DAP12 signaling Homo sapiens R-HSA-2424491	Reactome_2016	63	0.765625	1	0.382	Kruskal-Wallis
DARPP-32 events Homo sapiens R-HSA-180024	Reactome_2016	63	0.815007716049394	1	0.367	Kruskal-Wallis
Deactivation of the beta-catenin transactivating complex Homo sapiens R-HSA-3769402	Reactome_2016	63	0.891975308641975	1	0.345	Kruskal-Wallis
Deadenylation of mRNA Homo sapiens R-HSA-429947	Reactome_2016	63	0.765625	1	0.382	Kruskal-Wallis
Deadenylation-dependent mRNA decay Homo sapiens R-HSA-429914	Reactome_2016	63	0.0192901234568126	1	0.89	Kruskal-Wallis
Death Receptor Signalling Homo sapiens R-HSA-73887	Reactome_2016	63	0.0277777777777715	1	0.868	Kruskal-Wallis
Dectin-1 mediated noncanonical NF-kB signaling Homo sapiens R-HSA-5607761	Reactome_2016	63	0.00019290123455562	1	0.989	Kruskal-Wallis
Defective B3GALT6 causes EDSP2 and SEMDJL1 Homo sapiens R-HSA-4420332	Reactome_2016	63	0.463155864197546	1	0.496	Kruskal-Wallis
Defective B3GALTL causes Peters-plus syndrome (PpS) Homo sapiens R-HSA-5083635	Reactome_2016	63	0.40817901234567	1	0.523	Kruskal-Wallis
Defective B3GAT3 causes JDSSDHD Homo sapiens R-HSA-3560801	Reactome_2016	63	0.463155864197546	1	0.496	Kruskal-Wallis
Defective B4GALT7 causes EDS, progeroid type Homo sapiens R-HSA-3560783	Reactome_2016	63	0.463155864197546	1	0.496	Kruskal-Wallis
Defective C1GALT1C1 causes Tn polyagglutination syndrome (TNPS) Homo sapiens R-HSA-5083632	Reactome_2016	63	0.000771604938250903	1	0.978	Kruskal-Wallis
Defective GALNT12 causes colorectal cancer 1 (CRCS1) Homo sapiens R-HSA-5083636	Reactome_2016	63	0.00694444444445708	1	0.934	Kruskal-Wallis
Defective GALNT3 causes familial hyperphosphatemic tumoral calcinosis (HFTC) Homo sapiens R-HSA-5083625	Reactome_2016	63	0.00694444444445708	1	0.934	Kruskal-Wallis
Defects in vitamin and cofactor metabolism Homo sapiens R-HSA-3296482	Reactome_2016	63	0.426118827160508	1	0.514	Kruskal-Wallis
Defensins Homo sapiens R-HSA-1461973	Reactome_2016	63	0.278549382716051	1	0.598	Kruskal-Wallis
Degradation of AXIN Homo sapiens R-HSA-4641257	Reactome_2016	63	0.0493827160493936	1	0.824	Kruskal-Wallis
Degradation of beta-catenin by the destruction complex Homo sapiens R-HSA-195253	Reactome_2016	63	0.162229938271565	1	0.687	Kruskal-Wallis
Degradation of DVL Homo sapiens R-HSA-4641258	Reactome_2016	63	0.00173611111111427	1	0.967	Kruskal-Wallis
Degradation of GLI1 by the proteasome Homo sapiens R-HSA-5610780	Reactome_2016	63	0.00173611111111427	1	0.967	Kruskal-Wallis
Degradation of GLI2 by the proteasome Homo sapiens R-HSA-5610783	Reactome_2016	63	0.0326003086419746	1	0.857	Kruskal-Wallis
Degradation of the extracellular matrix Homo sapiens R-HSA-1474228	Reactome_2016	63	0.023341049382708	1	0.879	Kruskal-Wallis
