	pathway	X0285.015.009	X1005.015.008	X1016.015.020	X1018.015.022	X1058.016.043	X1084.016.071	X1089.016.076	X1092.016.079	X1106.016.093	X1155.016.142	X1158.016.145	X1161.016.148	X1184.016.171	X1190.016.177	X1480.019.118	X1484.019.122	X1486.019.124	X1503.019.141	X1541.019.179	X1543.019.181	X1545.019.183	X1553.019.191	X1554.019.192	X1555.019.193	X1558.019.196	X1559.019.197	X1563.019.201	X1564.019.202	X1565.019.203	X1566.019.204	X1568.019.206	X1569.019.207	X1571.019.209	X1575.019.213	X1581.019.219
62	C-type lectin receptors (CLRs) Homo sapiens R-HSA-5621481	NA	NA	NA	NA	-1.80029755752274	1.38091152992741	NA	NA	NA	1.72844811444283	-2.04324979266127	1.76895635710281	1.46981200354546	NA	1.92437763769863	-1.65294975523857	-1.63913666429965	1.80787183673339	1.95086308663553	-1.58103503369207	NA	NA	NA	NA	NA	1.64229576629664	NA	1.5402067541707	NA	NA	NA	NA	-1.62571984285628	NA	NA
63	Cap-dependent Translation Initiation Homo sapiens R-HSA-72737	NA	-1.81197974083627	-1.82244568149114	NA	-2.41162882027723	2.46958190044074	NA	2.2973543010961	NA	-1.92942091855385	-1.42892435741932	2.20306267222284	1.83975109334312	NA	1.50352616387215	-1.68322592340371	-1.91884356671861	NA	NA	NA	1.72379794967705	-1.7305744913538	NA	-1.59186147595555	-1.62962599856333	NA	NA	-1.65511188100786	NA	NA	-2.23738631934233	NA	NA	NA	-1.63612796882337
64	Cardiac conduction Homo sapiens R-HSA-5576891	NA	NA	NA	NA	NA	-1.38785238431742	1.63153594058155	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
65	Cargo trafficking to the periciliary membrane Homo sapiens R-HSA-5620920	NA	NA	NA	NA	NA	-1.45716960204204	NA	-1.52447004658583	NA	NA	NA	NA	NA	NA	-1.61277152387638	NA	NA	NA	NA	NA	NA	NA	-1.6873513443589	NA	NA	NA	NA	NA	NA	NA	1.58257946750315	NA	NA	NA	NA
66	Caspase activation via extrinsic apoptotic signalig pathway Homo sapiens R-HSA-5357769	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.71994650182418	NA	NA	NA	1.78079676849853	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
67	CD209 (DC-SIGN) signaling Homo sapiens R-HSA-5621575	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.58316160203717	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
68	CD22 mediated BCR regulation Homo sapiens R-HSA-5690714	-1.68943251080337	NA	-1.91654333387444	-1.98272280405858	NA	NA	1.76082344175323	NA	NA	2.07607469086691	NA	2.0756710252508	1.93993399460693	NA	2.22218470600503	NA	-1.79667761077069	1.66523726137644	NA	-2.02414434583796	NA	-1.68604549264224	NA	-2.01454540195949	NA	1.75359531864888	NA	NA	NA	-1.8508251529548	NA	1.90519271137857	NA	2.05564444744286	NA
69	CD28 co-stimulation Homo sapiens R-HSA-389356	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.65305794041869	NA	NA	NA	1.80933641834948	NA	NA	1.54587381378404	1.7793271917971	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
70	CD28 dependent PI3K/Akt signaling Homo sapiens R-HSA-389357	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.67553991124493	NA	NA	NA	1.71746010636184	NA	NA	NA	1.6139320100203	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
71	Cdc20:Phospho-APC/C mediated degradation of Cyclin A Homo sapiens R-HSA-174184	NA	-1.55184946089224	-1.80645704159013	NA	-1.87403717363131	1.68388650048775	-1.40156848782324	1.98644016622147	NA	NA	-1.65077967858808	NA	NA	NA	1.5216474465071	-1.7963709936462	-1.52776289412791	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.59604863661442	NA	NA
72	CDK-mediated phosphorylation and removal of Cdc6 Homo sapiens R-HSA-69017	NA	NA	-1.71392314722967	NA	-1.72125342896966	1.81780012173655	NA	1.77592672359491	NA	NA	-1.83402975227863	NA	NA	NA	1.7408549634851	-1.88756061533963	NA	1.51403001179087	NA	NA	NA	NA	1.62179666091052	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
73	CDT1 association with the CDC6:ORC:origin complex Homo sapiens R-HSA-68827	NA	NA	-1.64284177872197	NA	-1.73745394462498	1.80848476019551	NA	1.83800109099813	NA	NA	-1.69680576300468	NA	NA	NA	1.58104722007536	-1.76505891801551	-1.38921065970318	NA	NA	NA	NA	NA	1.57911978656059	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
74	Cell Cycle Checkpoints Homo sapiens R-HSA-69620	NA	-1.66808786536561	-1.79734513928902	1.54404721242028	-2.09670166229933	1.9841889792569	-1.77190646961802	2.09118226822518	-1.68319527454225	NA	-1.52150185612418	NA	1.51608795391279	NA	1.68649685162365	-1.6645634361294	-1.90028113214216	NA	NA	NA	1.82192968960016	NA	1.732201828615	NA	NA	NA	NA	-1.5081604138992	NA	-1.72068732509176	NA	NA	-1.61773269948112	NA	-1.44701389561323
