"Module"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"M1"	"Folate Metabolism WP176"	"Folate Metabolism WP176"	"11/271"	"66/6201"	0.000114163950081097	0.00269842063828049	0.00226142944179782	"IL1B/MPO/SERPINA3/IL6/SAA4/FOLR3/ICAM1/TNF/SERPINE1/SAA1/SAA2"	11
"M1"	"GPCRs, Class A Rhodopsin-like WP455"	"GPCRs, Class A Rhodopsin-like WP455"	"25/271"	"257/6201"	0.000126003595965137	0.00273007791257796	0.00228796003199854	"GPR4/HCAR3/CXCR1/FPR2/FFAR2/CXCR2/GHSR/SSTR3/P2RY14/GPR65/FPR1/OR2B6/P2RY13/CCR1/GPR27/CXCR4/PTGIR/CCR7/FFAR1/CCR3/HRH2/P2RY10/GPR15/ADRA1D/FFAR3"	25
"M1"	"Chemokine signaling pathway WP3929"	"Chemokine signaling pathway WP3929"	"18/271"	"164/6201"	0.000263184431288137	0.00526368862576275	0.00441126941511291	"CXCR2/CCL3/FGR/CXCL3/CCL4/CCL20/CCR1/NCF1/CXCL5/CXCR4/CCL24/JAK3/RASGRP2/CCR7/HCK/CCR3/PRKCB/CCL22"	18
"M1"	"Selenium Micronutrient Network WP15"	"Selenium Micronutrient Network WP15"	"12/271"	"86/6201"	0.000321876738728203	0.0059777108620952	0.00500966052005549	"IL1B/PTGS2/MPO/SERPINA3/ALOX5AP/IL6/SAA4/ICAM1/TNF/SERPINE1/SAA1/SAA2"	12
"M1"	"IL1 and megakaryocytes in obesity WP2865"	"IL1 and megakaryocytes in obesity WP2865"	"6/271"	"24/6201"	0.000455667897030464	0.00789824354852804	0.00661917576738989	"MMP9/IL1B/HBEGF/NLRP3/ICAM1/CCR3"	6
"M1"	"Hematopoietic Stem Cell Differentiation WP2849"	"Hematopoietic Stem Cell Differentiation WP2849"	"9/271"	"55/6201"	0.000551762080159807	0.00896613380259686	0.00751412832849211	"IL1B/FOSB/IL1A/FOS/IL6/CXCR4/NFE2/CSF3/ITGB3"	9
"M1"	"Non-genomic actions of 1,25 dihydroxyvitamin D3 WP4341"	"Non-genomic actions of 1,25 dihydroxyvitamin D3 WP4341"	"10/271"	"71/6201"	0.00093679125789574	0.0143273957089937	0.0120071696832457	"CXCL8/CAMK2A/TLR8/IL6/TNF/CAMP/TLR4/PRKCB/RXRG/PRKCG"	10
"M1"	"Extracellular vesicles in the crosstalk of cardiac cells WP4300"	"Extracellular vesicles in the crosstalk of cardiac cells WP4300"	"5/271"	"19/6201"	0.0010777664903055	0.014748383551549	0.0123599813569661	"MMP9/SPP1/IL6/KDR/TLR4"	5
"M1"	"Overview of nanoparticle effects WP3287"	"Overview of nanoparticle effects WP3287"	"5/271"	"19/6201"	0.0010777664903055	0.014748383551549	0.0123599813569661	"CXCL8/PTGS2/IL6/ITGAD/TNF"	5
"M1"	"TYROBP Causal Network WP3945"	"TYROBP Causal Network WP3945"	"9/271"	"61/6201"	0.00119659340269121	0.0155557142349857	0.01303657022932	"SPP1/PLEK/HLX/ITGAX/SAMSN1/TNFRSF1B/APBB1IP/ITGAM/RGS1"	9
"M1"	"Selective expression of chemokine receptors during T-cell polarization WP4494"	"Selective expression of chemokine receptors during T-cell polarization WP4494"	"6/271"	"29/6201"	0.00133780531647677	0.0163837410641934	0.0137305036448908	"CCL3/CCL4/CCR1/CXCR4/CCR7/CCR3"	6
"M1"	"Hypertrophy Model WP516"	"Hypertrophy Model WP516"	"5/271"	"20/6201"	0.00138631655158559	0.0163837410641934	0.0137305036448908	"NR4A3/HBEGF/IL1A/ZEB1/MSTN"	5
"M1"	"Matrix Metalloproteinases WP129"	"Matrix Metalloproteinases WP129"	"6/271"	"30/6201"	0.00161196253326471	0.0182221851586445	0.0152712239993499	"MMP9/MMP8/MMP19/MMP25/MMP12/TNF"	6
"M1"	"Osteopontin Signaling WP1434"	"Osteopontin Signaling WP1434"	"4/271"	"13/6201"	0.00186539219274167	0.0202084154213681	0.0169357975393652	"MMP9/SPP1/PLAU/ITGB3"	4
"M1"	"TGF-beta Receptor Signaling WP560"	"TGF-beta Receptor Signaling WP560"	"8/271"	"54/6201"	0.00216909347727268	0.0225585721636359	0.0189053620966503	"INHBA/SPP1/FOS/NOG/TNF/THBS1/ZEB2/SERPINE1"	8
"M1"	"Oxysterols derived from cholesterol WP4545"	"Oxysterols derived from cholesterol WP4545"	"4/271"	"15/6201"	0.00332310602441484	0.0332310602441484	0.0278495120264725	"CYP7A1/IL25/GPR183/IL17A"	4
"M1"	"Toll-like Receptor Signaling Pathway WP75"	"Toll-like Receptor Signaling Pathway WP75"	"11/271"	"103/6201"	0.00506975521766848	0.0488198650590298	0.0409138140373246	"IL1B/SPP1/CCL3/CXCL8/FOS/CCL4/TLR8/IL6/TNF/TLR9/TLR4"	11
"M1"	"GPCRs, Other WP117"	"GPCRs, Other WP117"	"10/271"	"91/6201"	0.00605906963810467	0.0562627894966862	0.0471514065822431	"CXCR1/CXCR2/GPR84/OR2B6/P2RY13/ADGRE2/GPR183/ADGRE3/UTS2R/ADRA1D"	10
"M1"	"Simplified Depiction of MYD88 Distinct Input-Output Pathway WP3877"	"Simplified Depiction of MYD88 Distinct Input-Output Pathway WP3877"	"4/271"	"18/6201"	0.00671779156077726	0.060228476062141	0.0504748766998509	"IL1A/TLR8/TLR9/TLR4"	4
"M1"	"Microglia Pathogen Phagocytosis Pathway WP3937"	"Microglia Pathogen Phagocytosis Pathway WP3937"	"6/271"	"40/6201"	0.00723022768047181	0.0624549791440619	0.0523408124810559	"TREM1/NCF1/ITGAM/HCK/NCF4/SIGLEC7"	6
"M1"	"Regulation of toll-like receptor signaling pathway WP1449"	"Regulation of toll-like receptor signaling pathway WP1449"	"13/271"	"139/6201"	0.0074725205805994	0.0624549791440619	0.0523408124810559	"IL1B/TREM1/SPP1/CCL3/CXCL8/FOS/CCL4/TLR8/IL6/TNF/TLR9/TLR4/BTK"	13
"M1"	"Mammary gland development pathway - Involution (Stage 4 of 4) WP2815"	"Mammary gland development pathway - Involution (Stage 4 of 4) WP2815"	"3/271"	"10/6201"	0.00787992005243537	0.0624549791440619	0.0523408124810559	"MMP9/CHI3L1/SOCS3"	3
"M1"	"Myometrial Relaxation and Contraction Pathways WP289"	"Myometrial Relaxation and Contraction Pathways WP289"	"14/271"	"156/6201"	0.00800837731047929	0.0624549791440619	0.0523408124810559	"IL1B/RGS2/FOS/PDE4B/ADM/CAMK2A/IL6/RGS1/RGS18/PRKCB/RGS20/PRKCG/CALCA/RAMP2"	14
"M1"	"Nucleotide-binding Oligomerization Domain (NOD) pathway WP1433"	"Nucleotide-binding Oligomerization Domain (NOD) pathway WP1433"	"6/271"	"41/6201"	0.00816718958037732	0.0624549791440619	0.0523408124810559	"IL1B/NLRC4/CASP5/MEFV/NLRP3/NLRP12"	6
"M1"	"Oligodendrocyte Specification and differentiation(including remyelination), leading to Myelin Components for CNS WP4304"	"Oligodendrocyte Specification and differentiation(including remyelination), leading to Myelin Components for CNS WP4304"	"5/271"	"30/6201"	0.008916500228075	0.0662368588371286	0.0555102420213993	"IL1B/CXCL2/TNF/OLIG2/OLIG1"	5
"M1"	"Complement and Coagulation Cascades WP558"	"Complement and Coagulation Cascades WP558"	"7/271"	"58/6201"	0.0125666184904985	0.0907589113202671	0.0760611119161753	"PLAUR/PLAU/CR1/C5AR1/C7/SERPINE1/F5"	7
"M1"	"ncRNAs involved in STAT3 signaling in hepatocellular carcinoma WP4337"	"ncRNAs involved in STAT3 signaling in hepatocellular carcinoma WP4337"	"3/271"	"13/6201"	0.0170416562033221	0.116600805601678	0.0977180840467501	"IL6/ZEB1/JAK3"	3
"M1"	"Serotonin and anxiety-related events WP3944"	"Serotonin and anxiety-related events WP3944"	"3/271"	"13/6201"	0.0170416562033221	0.116600805601678	0.0977180840467501	"FOS/PLEK/PRKCB"	3
"M1"	"IL-3 Signaling Pathway WP286"	"IL-3 Signaling Pathway WP286"	"6/271"	"49/6201"	0.0190112554517883	0.126741703011922	0.106216730864242	"CXCL8/FOS/CSF2RB/HCK/CCR3/CD69"	6
"M1"	"Fibrin Complement Receptor 3 Signaling Pathway WP4136"	"Fibrin Complement Receptor 3 Signaling Pathway WP4136"	"5/271"	"37/6201"	0.0212956413823329	0.135045530717233	0.113175809143592	"CXCL3/IL6/TNF/TLR4/ITGAM"	5
"M1"	"Photodynamic therapy-induced HIF-1 survival signaling WP3614"	"Photodynamic therapy-induced HIF-1 survival signaling WP3614"	"5/271"	"37/6201"	0.0212956413823329	0.135045530717233	0.113175809143592	"SLC2A3/PTGS2/BCL2A1/EDN1/SERPINE1"	5
"M1"	"Oncostatin M Signaling Pathway WP2374"	"Oncostatin M Signaling Pathway WP2374"	"7/271"	"65/6201"	0.0224994120275052	0.139282074455984	0.116726272924651	"OSM/EGR1/FOS/SOCS3/JAK3/PRKCB/SERPINE1"	7
"M1"	"Sleep regulation WP3591"	"Sleep regulation WP3591"	"5/271"	"38/6201"	0.0236748117019279	0.143150024244215	0.119967834083209	"FOS/IL6/UTS2R/UTS2/MRGPRX2"	5
"M1"	"Mammary gland development pathway - Embryonic development (Stage 1 of 4) WP2813"	"Mammary gland development pathway - Embryonic development (Stage 1 of 4) WP2813"	"3/271"	"15/6201"	0.0254209479326127	0.150214692329075	0.125888426364852	"TNF/ZEB2/TERT"	3
"M1"	"Osteoclast Signaling WP12"	"Osteoclast Signaling WP12"	"3/271"	"16/6201"	0.0302995209540525	0.175063898845637	0.146713469882781	"TNFSF11/SPP1/ITGB3"	3
"M1"	"TLR4 Signaling and Tolerance WP3851"	"TLR4 Signaling and Tolerance WP3851"	"4/271"	"28/6201"	0.0319594881082746	0.180640584959813	0.151387048933932	"CXCL8/IL6/TNF/TLR4"	4
"M1"	"Platelet-mediated interactions with vascular and circulating cells WP4462"	"Platelet-mediated interactions with vascular and circulating cells WP4462"	"3/271"	"17/6201"	0.035633442481778	0.193014480109631	0.161757074423861	"IL1B/ICAM1/TLR4"	3
"M1"	"Serotonin and anxiety WP3947"	"Serotonin and anxiety WP3947"	"3/271"	"17/6201"	0.035633442481778	0.193014480109631	0.161757074423861	"FOS/PLEK/PRKCB"	3
"M1"	"Vitamin A and Carotenoid Metabolism WP716"	"Vitamin A and Carotenoid Metabolism WP716"	"5/271"	"43/6201"	0.0381072147391739	0.202201547595617	0.16945635770159	"ALDH1A2/AWAT2/CYP26B1/RPE65/RXRG"	5
"M1"	"Senescence and Autophagy in Cancer WP615"	"Senescence and Autophagy in Cancer WP615"	"9/271"	"105/6201"	0.0393988193377611	0.204873860556358	0.171695907429822	"INHBA/IL1B/CCL3/CXCL8/IL1A/PLAU/IL6/THBS1/SERPINE1"	9
"M1"	"T-Cell antigen Receptor (TCR)  Signaling Pathway WP69"	"T-Cell antigen Receptor (TCR)  Signaling Pathway WP69"	"8/271"	"90/6201"	0.0421974589305874	0.215124300430445	0.1802863570409	"IL1B/IL1A/FOS/CD83/LCP2/IL17A/IL6/TNFRSF9"	8
"M1"	"Monoamine Transport WP727"	"Monoamine Transport WP727"	"4/271"	"32/6201"	0.0490509682187009	0.243542669352928	0.204102560955693	"IL1B/TNF/ITGB3/SLC6A2"	4
"M1"	"Corticotropin-releasing hormone signaling pathway WP2355"	"Corticotropin-releasing hormone signaling pathway WP2355"	"8/271"	"93/6201"	0.0496452364450199	0.243542669352928	0.204102560955693	"FOSB/CXCL8/FOSL1/FOS/NR4A1/CAMK2A/TLR4/PRKCB"	8
"M1"	"VEGFA-VEGFR2 Signaling Pathway WP3888"	"VEGFA-VEGFR2 Signaling Pathway WP3888"	"16/271"	"236/6201"	0.052791751167827	0.246201336037912	0.206330674331367	"EGR3/NR4A3/EGR1/HBEGF/CXCL8/PTGS2/NR4A1/PLAUR/RND1/TNFRSF10C/PLAU/NCF1/KDR/ICAM1/PRKCB/ITGB3"	16
"M1"	"NO/cGMP/PKG mediated Neuroprotection WP4008"	"NO/cGMP/PKG mediated Neuroprotection WP4008"	"5/271"	"47/6201"	0.0528301506621114	0.246201336037912	0.206330674331367	"IL1B/PDE2A/CNGB1/CAMK2A/TNF"	5
"M1"	"Resistin as a regulator of inflammation WP4481"	"Resistin as a regulator of inflammation WP4481"	"4/271"	"33/6201"	0.0539749082852345	0.246201336037912	0.206330674331367	"CXCL8/RETN/IL6/TNF"	4
"M1"	"Signal transduction through IL1R WP4496"	"Signal transduction through IL1R WP4496"	"4/271"	"33/6201"	0.0539749082852345	0.246201336037912	0.206330674331367	"IL1B/IL1A/IL6/TNF"	4
"M1"	"Differentiation Pathway WP2848"	"Differentiation Pathway WP2848"	"5/271"	"48/6201"	0.0569619729857812	0.255346775453502	0.213995070926619	"INHBA/CXCR1/TNFSF11/IL6/NOG"	5
"M1"	"Neovascularisation processes WP4331"	"Neovascularisation processes WP4331"	"3/271"	"21/6201"	0.0613687896245757	0.270438733938808	0.226642987551957	"MMP9/KDR/CXCR4"	3
"M1"	"Viral Acute Myocarditis WP4298"	"Viral Acute Myocarditis WP4298"	"7/271"	"84/6201"	0.0734054841303286	0.318090431231424	0.266577810789088	"MMP9/IL6/CXCR4/EDN1/TNF/TLR4/CCR3"	7
"M1"	"Blood Clotting Cascade WP272"	"Blood Clotting Cascade WP272"	"3/271"	"23/6201"	0.0767179631149204	0.321720490481924	0.269620006193354	"PLAU/SERPINE1/F5"	3
"M1"	"EBV LMP1 signaling WP262"	"EBV LMP1 signaling WP262"	"3/271"	"23/6201"	0.0767179631149204	0.321720490481924	0.269620006193354	"CXCL8/CCL20/TNF"	3
"M1"	"Hippo-Merlin Signaling Dysregulation WP4541"	"Hippo-Merlin Signaling Dysregulation WP4541"	"9/271"	"120/6201"	0.0786002736912226	0.324382081900284	0.271850570661372	"ITGAX/KDR/ITGAD/ITGAM/CDH8/ITGB3/PAK5/CDH19/NTRK1"	9
"M1"	"Serotonin Transporter Activity WP1455"	"Serotonin Transporter Activity WP1455"	"2/271"	"11/6201"	0.0806869235316515	0.327790626847334	0.274707124523879	"IL1B/ITGB3"	2
"M1"	"Triacylglyceride Synthesis WP325"	"Triacylglyceride Synthesis WP325"	"3/271"	"24/6201"	0.084963706790019	0.339854827160076	0.284817608186784	"DGAT2/MOGAT1/MOGAT2"	3
"M1"	"Allograft Rejection WP2328"	"Allograft Rejection WP2328"	"7/271"	"89/6201"	0.0933119702235978	0.354637348240542	0.297206198727903	"IL1B/CXCL8/IL1A/IL17A/IL13/C7/TNF"	7
"M1"	"Physiological and Pathological Hypertrophy  of the Heart WP1528"	"Physiological and Pathological Hypertrophy  of the Heart WP1528"	"3/271"	"25/6201"	0.0935687841667081	0.354637348240542	0.297206198727903	"FOS/EDN1/PRKCB"	3
"M1"	"Primary Focal Segmental Glomerulosclerosis FSGS WP2572"	"Primary Focal Segmental Glomerulosclerosis FSGS WP2572"	"6/271"	"72/6201"	0.0935957226372894	0.354637348240542	0.297206198727903	"KIRREL2/MME/PLAUR/CR1/TLR4/ITGB3"	6
"M1"	"IL-10 Anti-inflammatory Signaling Pathway  WP4495"	"IL-10 Anti-inflammatory Signaling Pathway  WP4495"	"2/271"	"12/6201"	0.0941164199516519	0.354637348240542	0.297206198727903	"IL1A/IL6"	2
"M1"	"Bladder Cancer WP2828"	"Bladder Cancer WP2828"	"4/271"	"40/6201"	0.0954792860647613	0.354637348240542	0.297206198727903	"MMP9/HBEGF/CXCL8/THBS1"	4
"M1"	"Vitamin D Receptor Pathway WP2877"	"Vitamin D Receptor Pathway WP2877"	"12/271"	"182/6201"	0.100557835250223	0.36823996007124	0.30860595844027	"G0S2/TREM1/TNFSF11/SPP1/CASP5/BMP6/CYP7A1/IL25/LRRC25/KRT71/CAMP/ITGAM"	12
"M1"	"EDA Signalling in Hair Follicle Development WP3930"	"EDA Signalling in Hair Follicle Development WP3930"	"2/271"	"13/6201"	0.108130013360439	0.385120595530331	0.32275288775214	"GLI1/LTB"	2
"M1"	"Mammary gland development pathway - Puberty (Stage 2 of 4) WP2814"	"Mammary gland development pathway - Puberty (Stage 2 of 4) WP2814"	"2/271"	"13/6201"	0.108130013360439	0.385120595530331	0.32275288775214	"FOSL1/AREG"	2
"M1"	"Eicosanoid Synthesis WP167"	"Eicosanoid Synthesis WP167"	"3/271"	"27/6201"	0.111788654445952	0.392770948053345	0.329164316789646	"PTGS2/ALOX5AP/PLA2G2A"	3
"M1"	"Adipogenesis WP236"	"Adipogenesis WP236"	"9/271"	"130/6201"	0.11459604045389	0.397266273573486	0.332931654371302	"OSM/EGR2/SOCS3/RETN/IL6/CYP26B1/TNF/SERPINE1/RXRG"	9
"M1"	"Osteoblast Signaling WP322"	"Osteoblast Signaling WP322"	"2/271"	"14/6201"	0.122651452328683	0.414437177805552	0.347321845367406	"TNFSF11/ITGB3"	2
"M1"	"TGF-beta Signaling Pathway WP366"	"TGF-beta Signaling Pathway WP366"	"9/271"	"132/6201"	0.12273716419626	0.414437177805552	0.347321845367406	"FOSB/FOS/SIK1/MMP12/ZEB1/THBS1/ZEB2/ITGB3/TERT"	9
"M1"	"Thymic Stromal LymphoPoietin (TSLP) Signaling Pathway WP2203"	"Thymic Stromal LymphoPoietin (TSLP) Signaling Pathway WP2203"	"4/271"	"47/6201"	0.148063238976207	0.493244687754333	0.41336700552691	"CXCL8/IL6/HCK/BTK"	4
"M1"	"IL17 signaling pathway WP2112"	"IL17 signaling pathway WP2112"	"3/271"	"31/6201"	0.151767596232102	0.493244687754333	0.41336700552691	"IL17C/IL25/IL17A"	3
"M1"	"Toll-like Receptor Signaling WP3858"	"Toll-like Receptor Signaling WP3858"	"3/271"	"31/6201"	0.151767596232102	0.493244687754333	0.41336700552691	"TLR8/TLR9/TLR4"	3
"M1"	"Nuclear Receptors Meta-Pathway WP2882"	"Nuclear Receptors Meta-Pathway WP2882"	"18/271"	"319/6201"	0.157964370856908	0.507046128676494	0.424933395287588	"IL1B/EGR1/SLC2A3/HBEGF/PTGS2/APOA2/RGS2/CYP7A1/PDE4B/CCL20/SLC2A14/SRGN/ALOX5AP/NAV3/TNF/SERPINB9/SLC7A5/SLC6A2"	18
"M1"	"Hepatitis C and Hepatocellular Carcinoma WP3646"	"Hepatitis C and Hepatocellular Carcinoma WP3646"	"4/271"	"49/6201"	0.164795893823559	0.515659348460088	0.432151761664932	"CXCR1/CXCL8/PTGS2/IL6"	4
"M1"	"Circadian rhythm related genes WP3594"	"Circadian rhythm related genes WP3594"	"12/271"	"201/6201"	0.16849680252257	0.515659348460088	0.432151761664932	"PROK2/EGR3/EGR1/SIK1/IL6/NTRK3/UTS2R/MAGEL2/UTS2/SERPINE1/PRKCG/NTRK1"	12
"M1"	"Amplification and Expansion of Oncogenic Pathways as Metastatic Traits WP3678"	"Amplification and Expansion of Oncogenic Pathways as Metastatic Traits WP3678"	"2/271"	"17/6201"	0.168580940842721	0.515659348460088	0.432151761664932	"CXCR4/CYTIP"	2
"M1"	"Leptin Insulin Overlap WP3935"	"Leptin Insulin Overlap WP3935"	"2/271"	"17/6201"	0.168580940842721	0.515659348460088	0.432151761664932	"SOCS3/SOCS2"	2
"M1"	"Endothelin Pathways WP2197"	"Endothelin Pathways WP2197"	"3/271"	"33/6201"	0.173235308904176	0.518228007953475	0.434304443912426	"EDN1/PTGIR/CALCA"	3
"M1"	"Photodynamic therapy-induced AP-1 survival signaling. WP3611"	"Photodynamic therapy-induced AP-1 survival signaling. WP3611"	"4/271"	"50/6201"	0.173407064199817	0.518228007953475	0.434304443912426	"HBEGF/FOS/IL6/TNF"	4
"M1"	"Cardiac Progenitor Differentiation WP2406"	"Cardiac Progenitor Differentiation WP2406"	"4/271"	"53/6201"	0.200118401392138	0.585948933787143	0.491058418194084	"INHBA/KDR/CXCR4/NOG"	4
"M1"	"Small Ligand GPCRs WP247"	"Small Ligand GPCRs WP247"	"2/271"	"19/6201"	0.20057482733483	0.585948933787143	0.491058418194084	"S1PR4/PTGIR"	2
"M1"	"Calcium Regulation in the Cardiac Cell WP536"	"Calcium Regulation in the Cardiac Cell WP536"	"9/271"	"149/6201"	0.203543239332947	0.588013802517402	0.492788895227134	"CACNA1E/RGS2/CAMK2A/RGS1/RGS18/PRKCB/RGS20/ADRA1D/PRKCG"	9
"M1"	"ErbB Signaling Pathway WP673"	"ErbB Signaling Pathway WP673"	"6/271"	"91/6201"	0.206413980755806	0.589754230730873	0.494247472717777	"HBEGF/AREG/CAMK2A/PRKCB/PAK5/PRKCG"	6
"M1"	"Type II interferon signaling (IFNG) WP619"	"Type II interferon signaling (IFNG) WP619"	"3/271"	"37/6201"	0.218406678765832	0.617236266077351	0.517278976024339	"IL1B/SOCS3/ICAM1"	3
"M1"	"Nuclear Receptors WP170"	"Nuclear Receptors WP170"	"3/271"	"38/6201"	0.230064096658093	0.643189947646281	0.539029632237976	"NR4A1/NR5A1/RXRG"	3
"M1"	"Preimplantation Embryo WP3527"	"Preimplantation Embryo WP3527"	"4/271"	"58/6201"	0.247047974625058	0.648101876533995	0.543146107054806	"FOSB/AQP9/EGR1/ZSCAN4"	4
"M1"	"Complement Activation WP545"	"Complement Activation WP545"	"2/271"	"22/6201"	0.249626689948593	0.648101876533995	0.543146107054806	"C7/CFP"	2
"M1"	"PI3K/AKT/mTOR - VitD3 Signalling WP4141"	"PI3K/AKT/mTOR - VitD3 Signalling WP4141"	"2/271"	"22/6201"	0.249626689948593	0.648101876533995	0.543146107054806	"HK3/SLC2A3"	2
"M1"	"Transcription factor regulation in adipogenesis WP3599"	"Transcription factor regulation in adipogenesis WP3599"	"2/271"	"22/6201"	0.249626689948593	0.648101876533995	0.543146107054806	"IL6/TNF"	2
"M1"	"Type II diabetes mellitus WP1584"	"Type II diabetes mellitus WP1584"	"2/271"	"22/6201"	0.249626689948593	0.648101876533995	0.543146107054806	"MAFA/TNF"	2
"M1"	"Vitamin D in inflammatory diseases WP4482"	"Vitamin D in inflammatory diseases WP4482"	"2/271"	"22/6201"	0.249626689948593	0.648101876533995	0.543146107054806	"IL6/TNF"	2
"M1"	"IL-5 Signaling Pathway WP127"	"IL-5 Signaling Pathway WP127"	"3/271"	"40/6201"	0.253700663074255	0.648101876533995	0.543146107054806	"FOS/CSF2RB/BTK"	3
"M1"	"Oxidative Damage WP3941"	"Oxidative Damage WP3941"	"3/271"	"40/6201"	0.253700663074255	0.648101876533995	0.543146107054806	"C5AR1/TNFRSF1B/TNF"	3
"M1"	"Kit receptor signaling pathway WP304"	"Kit receptor signaling pathway WP304"	"4/271"	"59/6201"	0.256718384181978	0.648101876533995	0.543146107054806	"SNAI1/FOS/BTK/PRKCB"	4
"M1"	"Pathways Regulating Hippo Signaling WP4540"	"Pathways Regulating Hippo Signaling WP4540"	"6/271"	"98/6201"	0.256748051088467	0.648101876533995	0.543146107054806	"KDR/CDH8/PRKCB/CDH19/PRKCG/NTRK1"	6
"M1"	"Common Pathways Underlying Drug Addiction WP2636"	"Common Pathways Underlying Drug Addiction WP2636"	"3/271"	"42/6201"	0.27766251297748	0.673997749783568	0.564848316620237	"CAMK2A/PRKCB/PRKCG"	3
"M1"	"IL-2 Signaling Pathway WP49"	"IL-2 Signaling Pathway WP49"	"3/271"	"42/6201"	0.27766251297748	0.673997749783568	0.564848316620237	"FOS/SOCS3/JAK3"	3
"M1"	"TNF related weak inducer of apoptosis (TWEAK) Signaling Pathway WP2036"	"TNF related weak inducer of apoptosis (TWEAK) Signaling Pathway WP2036"	"3/271"	"42/6201"	0.27766251297748	0.673997749783568	0.564848316620237	"MMP9/IL6/TNF"	3
"M1"	"MAPK Signaling Pathway WP382"	"MAPK Signaling Pathway WP382"	"13/271"	"246/6201"	0.278469948673508	0.673997749783568	0.564848316620237	"IL1B/RASGRP4/IL1A/CACNA1E/FOS/NR4A1/HSPA6/IL1R2/TNF/RASGRP2/PTPRR/PRKCG/NTRK1"	13
"M1"	"Angiogenesis WP1539"	"Angiogenesis WP1539"	"2/271"	"24/6201"	0.282560595101573	0.673997749783568	0.564848316620237	"MMP9/KDR"	2
"M1"	"GPCRs, Class B Secretin-like WP334"	"GPCRs, Class B Secretin-like WP334"	"2/271"	"24/6201"	0.282560595101573	0.673997749783568	0.564848316620237	"ADGRE2/ADGRE1"	2
"M1"	"IL-6 signaling pathway WP364"	"IL-6 signaling pathway WP364"	"3/271"	"43/6201"	0.289728349690218	0.684812462904153	0.573911659194978	"SOCS3/IL6/HCK"	3
