	pathway	X1018.015.022	X1058.016.043	X1089.016.076	X1155.016.142	X1158.016.145	X1161.016.148	X1184.016.171	X1190.016.177	X1195.016.182	X1480.019.118	X1486.019.124	X1503.019.141	X1541.019.179	X1543.019.181	X1545.019.183	X1551.019.189	X1553.019.191	X1559.019.197	X1563.019.201	X1564.019.202	X1565.019.203	X1566.019.204	X1568.019.206	X1569.019.207	X1576.019.214	X1581.019.219
20	aminoglycan biosynthetic process (GO:0006023)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.51324877913834	NA	1.59403345678889	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.68875796295434	NA	NA	NA
21	anaphase-promoting complex-dependent catabolic process (GO:0031145)	NA	-1.92094462475663	NA	NA	-1.57617063342797	NA	NA	NA	NA	1.62206715218054	-1.68497082283365	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
22	anion transport (GO:0006820)	NA	NA	1.58867429467865	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
23	anterograde trans-synaptic signaling (GO:0098916)	NA	NA	1.87606407111218	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.55306257046655	NA	NA	NA	NA	NA	NA	1.42869649143453	NA	NA	-1.38997439143381	NA	NA	NA
24	antibacterial humoral response (GO:0019731)	NA	NA	1.72918998850045	NA	NA	NA	NA	NA	NA	1.67324307835405	-1.69905077779875	NA	NA	-1.62500946122183	1.7755873107233	NA	NA	1.88285649825411	NA	NA	-1.94798217965812	NA	NA	NA	NA	NA
25	antigen processing and presentation of exogenous peptide antigen (GO:0002478)	NA	NA	NA	NA	-1.69980488327598	NA	NA	NA	NA	1.66908801195466	-1.64245220815352	NA	1.64238083551534	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26	antigen processing and presentation of exogenous peptide antigen via MHC class I (GO:0042590)	NA	NA	NA	NA	-1.76854922548179	NA	NA	NA	NA	1.55322983773291	-1.378068559828	1.70346584473528	NA	-1.56952159926753	NA	NA	NA	1.81528554249295	NA	1.50147473891974	NA	NA	NA	NA	NA	NA
27	antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent (GO:0002479)	NA	NA	NA	NA	-1.6816400465862	NA	NA	NA	NA	1.45852386648091	NA	1.64364834349726	NA	NA	NA	NA	NA	1.69155678508259	NA	NA	NA	NA	NA	NA	NA	NA
28	antigen processing and presentation of exogenous peptide antigen via MHC class II (GO:0019886)	NA	NA	NA	NA	-1.69980488327598	NA	NA	NA	NA	1.66908801195466	-1.64245220815352	NA	1.64238083551534	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
29	antigen processing and presentation of peptide antigen via MHC class II (GO:0002495)	NA	NA	NA	NA	-1.69980488327598	NA	NA	NA	NA	1.66908801195466	-1.64245220815352	NA	1.64238083551534	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
30	antigen receptor-mediated signaling pathway (GO:0050851)	-1.58763662057831	-1.288939754203	1.41564504657443	2.05857271635296	-2.10569048096691	1.41062913365649	2.04672429017818	-1.43554805842859	NA	2.30167805112739	-1.65158499415215	2.02616859914682	1.34838479610518	-2.37558343987836	1.75178521143587	NA	-1.54904877252604	1.84446313716429	NA	NA	NA	-1.64994274087209	NA	1.86542601655068	-1.5489476969068	NA
31	antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844)	NA	-1.99209428802235	1.78864066659008	NA	-1.73374824839918	1.65469490920333	1.93014197198779	NA	NA	1.52878496133513	-2.04499554805238	1.71314215157514	1.75375432572575	NA	1.67518429165519	NA	NA	1.85236855777444	NA	1.66493789056111	-1.88180383286282	NA	-1.8291760184101	1.7072514169095	NA	-1.76901858539716
32	apoptotic cell clearance (GO:0043277)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.53622557266706	NA	1.6503225651434	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
33	apoptotic process (GO:0006915)	NA	-1.61317339132155	NA	1.7141855728357	-1.90113177121611	NA	1.68639853598879	NA	NA	1.76980507237382	-1.72418840126727	1.71958319594708	1.73280058886302	NA	NA	NA	NA	1.49042696733944	NA	1.43367685971072	NA	NA	NA	NA	NA	NA
34	arachidonic acid metabolic process (GO:0019369)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.57797934122309	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
35	artery morphogenesis (GO:0048844)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.07961311750664	NA	NA	NA
36	atrioventricular valve morphogenesis (GO:0003181)	NA	NA	NA	NA	NA	1.85829183218354	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.83635342631406	NA	NA	NA
37	autonomic nervous system development (GO:0048483)	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.75811407870367	-1.72859893965045	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.76667986279356	NA	NA	NA
38	axon development (GO:0061564)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.35859406482788	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
39	axon guidance (GO:0007411)	NA	NA	1.4921406846708	NA	NA	NA	NA	NA	NA	1.51133634452595	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.61221723023118	NA	NA	NA
40	axonemal dynein complex assembly (GO:0070286)	1.70896596514093	2.33442132784633	-2.46258945913416	1.62849303777708	NA	-2.29203879760073	-1.69496603055057	-2.12217626124782	NA	-2.05216036710861	2.34612021519028	-1.74160753290621	-2.14179342670492	NA	-2.04991539793579	2.2000113532966	NA	NA	-1.73581602194186	NA	NA	-2.06079258149964	2.22257045697195	NA	NA	NA
41	axoneme assembly (GO:0035082)	NA	2.12402418393272	-2.36741158715697	NA	NA	-2.16593213053536	-1.70798001626709	-2.0291893554128	1.7551445136114	-2.01748713117132	1.99555226986973	NA	-2.11038579487924	NA	-1.91574417427843	2.08474373068696	NA	NA	NA	NA	NA	-1.77414703893914	2.0716888172497	NA	NA	NA
42	axonogenesis (GO:0007409)	NA	NA	1.43414349401635	NA	NA	NA	NA	NA	NA	1.29713006986215	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
43	B cell activation (GO:0042113)	NA	NA	NA	2.07726742561312	-2.23564499931509	1.69238697875007	1.58829489062098	NA	1.80923094152975	2.16240904898844	-1.99131306550222	2.04131951784844	1.55482479745947	-1.95329637349554	NA	NA	-1.81727127031906	1.9455365590435	NA	NA	NA	-1.70887196356152	NA	1.85394114859647	-1.59697651631365	NA
44	B cell differentiation (GO:0030183)	NA	NA	NA	1.93293813258779	-2.05171387815695	1.74874411179128	NA	NA	1.68275781758814	1.86202004012922	-1.75621204587363	1.71921936535242	NA	-1.65870344396841	NA	NA	NA	1.78608208130862	NA	NA	NA	NA	NA	1.59876066877445	NA	NA
45	B cell proliferation (GO:0042100)	NA	NA	NA	NA	-1.96249632651953	NA	NA	NA	NA	1.88155826227563	-1.6278023550699	1.85126402297719	NA	-1.72480049314398	NA	NA	NA	NA	NA	NA	NA	-1.69977686734499	NA	NA	NA	NA
46	B cell receptor signaling pathway (GO:0050853)	-2.04407727276993	-1.4926134078484	1.92056042150551	2.19695395832951	-2.08925525112459	2.29043128275917	2.22440912277117	NA	NA	2.553248342955	-2.1493839419454	2.15947325253688	NA	-2.64427696337641	2.16194487666197	NA	-2.06142812616207	2.10954397694492	NA	-1.74827734690094	-1.70166846646879	-2.1119169660469	NA	1.9928768879504	NA	NA
47	base conversion or substitution editing (GO:0016553)	NA	NA	NA	NA	-1.68833435043067	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
48	beta-catenin destruction complex disassembly (GO:1904886)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.67480110717627	NA	NA	NA	NA	NA	NA
49	bicarbonate transport (GO:0015701)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.52638939330783	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
50	bile acid biosynthetic process (GO:0006699)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.60978835510154	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
51	bile acid metabolic process (GO:0008206)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.60239063892459	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
52	blood circulation (GO:0008015)	NA	NA	NA	1.62330488806212	NA	NA	1.59525511214556	NA	NA	NA	NA	1.63674930133889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
53	blood vessel endothelial cell migration (GO:0043534)	NA	NA	NA	NA	-1.73891823738288	1.75592038149061	NA	NA	NA	1.71139775867258	-1.72684290328393	NA	1.82775405551022	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.87402070413483	NA	NA	NA
54	BMP signaling pathway (GO:0030509)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.77132273005151	NA	NA	NA
55	bone development (GO:0060348)	NA	NA	NA	NA	NA	NA	1.61989764956098	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
56	branching involved in ureteric bud morphogenesis (GO:0001658)	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.80192016371703	-1.82159302561763	NA	NA	NA	NA	NA	NA	NA	1.78162717278798	NA	NA	NA	-1.95514129055933	NA	NA	NA
57	branching morphogenesis of an epithelial tube (GO:0048754)	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.91621912244184	NA	NA	NA	NA	NA	NA	NA	NA	1.64825826487374	NA	NA	NA	-2.08652937249622	NA	NA	NA
58	C-terminal protein amino acid modification (GO:0018410)	NA	NA	1.82392925022575	NA	NA	NA	1.54247189917363	NA	NA	NA	-1.60444308142128	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59	C-terminal protein lipidation (GO:0006501)	NA	NA	1.84758762053026	NA	NA	NA	1.55380906239143	NA	NA	NA	-1.71981665855405	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
60	C21-steroid hormone metabolic process (GO:0008207)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.84256179195181	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
61	calcium ion homeostasis (GO:0055074)	NA	NA	NA	NA	-1.78391729108094	NA	1.57833647960882	NA	NA	1.63178918795166	NA	1.71979352315447	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
62	calcium ion import (GO:0070509)	NA	NA	1.86477511751787	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
63	calcium ion transmembrane import into cytosol (GO:0097553)	NA	NA	NA	NA	-1.67493722449276	NA	NA	NA	NA	1.52323109810942	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
64	calcium ion transmembrane transport (GO:0070588)	NA	NA	1.90720636866575	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
65	calcium ion transport (GO:0006816)	NA	NA	1.62447715527507	NA	-1.38768748283581	NA	NA	NA	NA	1.49617979562491	NA	1.46973709031704	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
66	calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules (GO:0016339)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.75541430349707	NA	-1.79698787181863	NA	NA	NA
67	calcium-mediated signaling (GO:0019722)	NA	NA	NA	1.62072210241952	-1.75933161650468	NA	1.65582472669612	NA	NA	NA	-1.60477831321856	1.59212938181417	1.45904245775163	NA	NA	NA	-1.64601895479802	NA	NA	1.55535803314516	NA	NA	NA	1.59292111466967	-1.77444175730754	NA
68	calcium-mediated signaling using intracellular calcium source (GO:0035584)	NA	NA	NA	NA	NA	NA	1.62009210465819	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
69	camera-type eye development (GO:0043010)	NA	NA	1.66691440344864	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.86565333969655	NA	NA	NA
70	cAMP metabolic process (GO:0046058)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.56623399299894	1.73033653369198	NA	NA	NA	NA	-1.75228769577495	1.63584060912304	NA	NA	NA	NA	NA	1.64652521670481	NA	NA
71	cAMP-mediated signaling (GO:0019933)	NA	NA	NA	1.49132411806335	NA	NA	1.55980857374856	NA	NA	NA	-1.79792635604349	NA	NA	NA	NA	NA	NA	1.56568768648491	NA	NA	NA	NA	NA	NA	NA	NA
72	canonical Wnt signaling pathway (GO:0060070)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.46009218924922	NA	NA	NA	1.71288175137901	NA	NA	NA	NA	NA	NA	NA	-1.8778528144861	NA	NA	NA
73	carbohydrate homeostasis (GO:0033500)	NA	NA	1.6347817580257	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
74	cardiac epithelial to mesenchymal transition (GO:0060317)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.84666817585356	NA	NA	NA	-1.8010662932959	NA	NA	NA
75	cardiac muscle cell differentiation (GO:0055007)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.7742397667228	NA
76	cardiac muscle tissue development (GO:0048738)	NA	NA	1.72520157299079	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
77	cartilage development (GO:0051216)	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.7654397580959	NA	NA	1.66912258677462	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.8589813552634	NA	NA	NA
78	catecholamine metabolic process (GO:0006584)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.65339123546993	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
79	cation transmembrane transport (GO:0098655)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.74028072492909	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
80	cation transport (GO:0006812)	NA	NA	1.62097284556115	NA	NA	1.50428154114584	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
81	cell chemotaxis (GO:0060326)	NA	-1.60344036978448	NA	1.89655339152764	-1.98250715033495	NA	1.87147965251408	NA	NA	NA	-1.79101821645672	1.75570055069707	1.71071936765414	NA	NA	NA	NA	1.65224375385466	NA	1.77536101332877	NA	-1.62759387385179	NA	NA	-1.73737967974234	NA
82	cell cycle G1/S phase transition (GO:0044843)	NA	-1.87967102533861	NA	NA	NA	NA	NA	NA	NA	1.63565264124072	-1.95710922993696	NA	NA	NA	1.61555428496926	NA	NA	NA	NA	NA	NA	-1.69700838729464	NA	NA	NA	NA
83	cell cycle G2/M phase transition (GO:0044839)	NA	NA	-1.5707656611945	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.46119824230792	NA	NA	NA	NA
84	cell junction assembly (GO:0034329)	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.51096886773059	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.58806410766478	NA	NA	NA
85	cell morphogenesis involved in differentiation (GO:0000904)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.54310497252482	NA	NA	NA
86	cell morphogenesis involved in neuron differentiation (GO:0048667)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.56239231610445	NA	NA	NA	NA	NA
87	cell projection assembly (GO:0030031)	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.72266654507431	NA	NA	1.6061203849239	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
88	cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	NA	NA	1.6292484836165	NA	NA	NA	1.53143044405833	NA	NA	NA	-1.40042145448745	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.731344918442	NA	-1.6304424440463	NA	-1.5050322358601	NA
89	cell-cell junction organization (GO:0045216)	NA	NA	NA	NA	NA	1.55898844354624	NA	NA	NA	1.6925153674255	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.59445406725568	NA	NA	NA
90	cell-matrix adhesion (GO:0007160)	NA	NA	1.74531785263981	NA	NA	1.55074404423715	NA	NA	NA	1.50349838470517	-1.7239169576488	NA	1.60626804773348	NA	NA	NA	NA	NA	1.70359635711515	NA	NA	NA	-1.79043226741357	1.5374461691482	NA	NA
91	cell-substrate adherens junction assembly (GO:0007045)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.62024499187703	NA	NA	NA
92	cellular calcium ion homeostasis (GO:0006874)	NA	NA	1.54070494610276	NA	-1.60876753387658	NA	1.39086402854655	NA	NA	1.44911081294948	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
93	cellular defense response (GO:0006968)	NA	NA	NA	2.00254081457592	-1.9791526840996	NA	1.78385781874208	NA	NA	1.95095397733612	-1.5755723204615	1.95493409815239	1.83752150051875	-1.86189313918158	NA	NA	-1.77215128554152	NA	NA	1.84451694389286	NA	-1.71248982914631	NA	1.98779393152012	-1.65413319924745	NA
94	cellular divalent inorganic cation homeostasis (GO:0072503)	NA	NA	NA	NA	-1.9124040432949	NA	1.51057043708389	NA	NA	1.5433154154212	NA	1.71247523775137	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
95	cellular glucuronidation (GO:0052695)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.86566144616297	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
96	cellular macromolecule biosynthetic process (GO:0034645)	NA	-2.16157930297785	NA	-1.31318953778872	NA	NA	1.31398556108326	NA	NA	NA	-1.86588519811967	NA	NA	NA	1.70354747884774	NA	NA	NA	NA	NA	NA	NA	-1.71538877323976	NA	NA	-1.52370178913385
97	cellular metal ion homeostasis (GO:0006875)	NA	NA	NA	NA	-1.74693570653004	NA	1.43996396973819	NA	NA	1.60103344326107	NA	1.72962445090113	NA	NA	NA	NA	NA	1.54322780032908	NA	NA	NA	NA	NA	NA	NA	NA
98	cellular protein metabolic process (GO:0044267)	NA	-1.55645026290555	NA	NA	NA	NA	NA	NA	NA	NA	-1.31101524887306	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
99	cellular protein modification process (GO:0006464)	NA	-1.22520462586987	NA	NA	-1.23665501823427	NA	NA	NA	NA	1.27035069830048	-1.37121707834543	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
100	cellular response to amyloid-beta (GO:1904646)	NA	NA	NA	NA	NA	NA	1.59645976695866	NA	NA	NA	NA	1.65099625490754	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
101	cellular response to BMP stimulus (GO:0071773)	NA	NA	1.52957665058286	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.84261633963808	NA	NA	NA
102	cellular response to cadmium ion (GO:0071276)	NA	NA	NA	NA	-1.67711245864787	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
103	cellular response to catecholamine stimulus (GO:0071870)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.63307361475313	NA	NA	NA	NA	NA	NA
104	cellular response to copper ion (GO:0071280)	NA	NA	NA	-1.98031701689367	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
105	cellular response to corticosteroid stimulus (GO:0071384)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.69750480437195	NA	NA	NA
106	cellular response to cytokine stimulus (GO:0071345)	NA	-1.98808036280346	1.63466679636463	2.10260027163556	-2.40120708341933	NA	2.14168664611298	NA	1.70430112540317	2.12110033794206	-2.12774441573806	2.09948151351037	2.30276789938955	-1.69817403747093	NA	NA	-1.70240293897102	1.86691826309235	1.61721675792877	1.88522715475673	-1.52201447001028	-1.68406661776029	NA	1.68120352623913	-1.86020600755463	-1.39360342225417
107	cellular response to DNA damage stimulus (GO:0006974)	NA	-1.31872336985782	NA	NA	NA	NA	1.34551180248679	NA	NA	NA	-1.43058930341405	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
108	cellular response to drug (GO:0035690)	NA	NA	NA	NA	-1.82962525623582	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
109	cellular response to dsRNA (GO:0071359)	NA	NA	NA	NA	-1.67114914102297	NA	NA	NA	NA	1.61196619273128	NA	NA	1.67433967301265	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
110	cellular response to epidermal growth factor stimulus (GO:0071364)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.5271163479201	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
