pathway	DB	n	statistic	df	p	method
activation of protein kinase activity (GO:0032147)	GO_Biological_Process_2018	63	0	1	1	Kruskal-Wallis
activation of protein kinase B activity (GO:0032148)	GO_Biological_Process_2018	63	1.05632716049382	1	0.304	Kruskal-Wallis
activin receptor signaling pathway (GO:0032924)	GO_Biological_Process_2018	63	0.37345679012347	1	0.541	Kruskal-Wallis
actomyosin structure organization (GO:0031032)	GO_Biological_Process_2018	63	0.0434027777777715	1	0.835	Kruskal-Wallis
acute inflammatory response (GO:0002526)	GO_Biological_Process_2018	63	0.583526234567898	1	0.445	Kruskal-Wallis
acyl-CoA metabolic process (GO:0006637)	GO_Biological_Process_2018	63	1.4266975308642	1	0.232	Kruskal-Wallis
acylglycerol biosynthetic process (GO:0046463)	GO_Biological_Process_2018	63	0.765625	1	0.382	Kruskal-Wallis
acylglycerol catabolic process (GO:0046464)	GO_Biological_Process_2018	63	0.426118827160508	1	0.514	Kruskal-Wallis
acylglycerol homeostasis (GO:0055090)	GO_Biological_Process_2018	63	0.111111111111114	1	0.739	Kruskal-Wallis
acylglycerol metabolic process (GO:0006639)	GO_Biological_Process_2018	63	0.140625	1	0.708	Kruskal-Wallis
adenylate cyclase-activating adrenergic receptor signaling pathway (GO:0071880)	GO_Biological_Process_2018	63	0.130401234567898	1	0.718	Kruskal-Wallis
adenylate cyclase-activating G-protein coupled receptor signaling pathway (GO:0007189)	GO_Biological_Process_2018	63	1.23456790123456	1	0.267	Kruskal-Wallis
adenylate cyclase-inhibiting G-protein coupled receptor signaling pathway (GO:0007193)	GO_Biological_Process_2018	63	0.356674382716051	1	0.55	Kruskal-Wallis
adenylate cyclase-modulating G-protein coupled receptor signaling pathway (GO:0007188)	GO_Biological_Process_2018	63	0.0123456790123271	1	0.912	Kruskal-Wallis
adherens junction organization (GO:0034332)	GO_Biological_Process_2018	63	0.185378086419774	1	0.667	Kruskal-Wallis
adrenergic receptor signaling pathway (GO:0071875)	GO_Biological_Process_2018	63	0.5625	1	0.453	Kruskal-Wallis
aerobic respiration (GO:0009060)	GO_Biological_Process_2018	63	0.120563271604908	1	0.728	Kruskal-Wallis
alpha-amino acid catabolic process (GO:1901606)	GO_Biological_Process_2018	63	0.482253086419774	1	0.487	Kruskal-Wallis
alpha-amino acid metabolic process (GO:1901605)	GO_Biological_Process_2018	63	1.08506944444446	1	0.298	Kruskal-Wallis
ameboidal-type cell migration (GO:0001667)	GO_Biological_Process_2018	63	0.000771604938250903	1	0.978	Kruskal-Wallis
amide biosynthetic process (GO:0043604)	GO_Biological_Process_2018	63	0.0378086419753174	1	0.846	Kruskal-Wallis
amide transport (GO:0042886)	GO_Biological_Process_2018	63	4	1	0.0455	Kruskal-Wallis
amino acid transmembrane transport (GO:0003333)	GO_Biological_Process_2018	63	1.81500771604939	1	0.178	Kruskal-Wallis
amino acid transport (GO:0006865)	GO_Biological_Process_2018	63	3.26003086419752	1	0.071	Kruskal-Wallis
aminoglycan biosynthetic process (GO:0006023)	GO_Biological_Process_2018	63	0.340277777777771	1	0.56	Kruskal-Wallis
aminoglycan catabolic process (GO:0006026)	GO_Biological_Process_2018	63	0.891975308641975	1	0.345	Kruskal-Wallis
aminoglycan metabolic process (GO:0006022)	GO_Biological_Process_2018	63	1.05632716049382	1	0.304	Kruskal-Wallis
ammonium transport (GO:0015696)	GO_Biological_Process_2018	63	0.197530864197546	1	0.657	Kruskal-Wallis
anaphase-promoting complex-dependent catabolic process (GO:0031145)	GO_Biological_Process_2018	63	0.210069444444457	1	0.647	Kruskal-Wallis
anatomical structure homeostasis (GO:0060249)	GO_Biological_Process_2018	63	0.30864197530866	1	0.579	Kruskal-Wallis
androgen metabolic process (GO:0008209)	GO_Biological_Process_2018	63	0.0850694444444571	1	0.771	Kruskal-Wallis
androgen receptor signaling pathway (GO:0030521)	GO_Biological_Process_2018	63	7.48630401234567	1	0.00622	Kruskal-Wallis
anion homeostasis (GO:0055081)	GO_Biological_Process_2018	63	0.26408179012347	1	0.607	Kruskal-Wallis
anion transmembrane transport (GO:0098656)	GO_Biological_Process_2018	63	2.04648919753089	1	0.153	Kruskal-Wallis
anion transport (GO:0006820)	GO_Biological_Process_2018	63	0.0771604938271651	1	0.781	Kruskal-Wallis
anterior/posterior axis specification (GO:0009948)	GO_Biological_Process_2018	63	0.023341049382708	1	0.879	Kruskal-Wallis
anterior/posterior pattern specification (GO:0009952)	GO_Biological_Process_2018	63	0.102044753086432	1	0.749	Kruskal-Wallis
anterograde axonal transport (GO:0008089)	GO_Biological_Process_2018	63	0.717785493827165	1	0.397	Kruskal-Wallis
anterograde synaptic vesicle transport (GO:0048490)	GO_Biological_Process_2018	63	0.0625	1	0.803	Kruskal-Wallis
anterograde trans-synaptic signaling (GO:0098916)	GO_Biological_Process_2018	63	1	1	0.317	Kruskal-Wallis
antibacterial humoral response (GO:0019731)	GO_Biological_Process_2018	63	0.648919753086432	1	0.42	Kruskal-Wallis
antigen processing and presentation of exogenous peptide antigen (GO:0002478)	GO_Biological_Process_2018	63	0.0277777777777715	1	0.868	Kruskal-Wallis
antigen processing and presentation of exogenous peptide antigen via MHC class I (GO:0042590)	GO_Biological_Process_2018	63	0.120563271604908	1	0.728	Kruskal-Wallis
antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent (GO:0002479)	GO_Biological_Process_2018	63	0.5625	1	0.453	Kruskal-Wallis
antigen processing and presentation of exogenous peptide antigen via MHC class II (GO:0019886)	GO_Biological_Process_2018	63	0.0277777777777715	1	0.868	Kruskal-Wallis
antigen processing and presentation of peptide antigen via MHC class I (GO:0002474)	GO_Biological_Process_2018	63	0.00482253086420315	1	0.945	Kruskal-Wallis
antigen processing and presentation of peptide antigen via MHC class II (GO:0002495)	GO_Biological_Process_2018	63	0.0277777777777715	1	0.868	Kruskal-Wallis
antigen receptor-mediated signaling pathway (GO:0050851)	GO_Biological_Process_2018	63	2.00694444444446	1	0.157	Kruskal-Wallis
antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844)	GO_Biological_Process_2018	63	0.015625	1	0.901	Kruskal-Wallis
aorta morphogenesis (GO:0035909)	GO_Biological_Process_2018	63	0.26408179012347	1	0.607	Kruskal-Wallis
apical junction assembly (GO:0043297)	GO_Biological_Process_2018	63	4.515625	1	0.0336	Kruskal-Wallis
apoptotic cell clearance (GO:0043277)	GO_Biological_Process_2018	63	0.222993827160508	1	0.637	Kruskal-Wallis
apoptotic mitochondrial changes (GO:0008637)	GO_Biological_Process_2018	63	0.000771604938250903	1	0.978	Kruskal-Wallis
apoptotic nuclear changes (GO:0030262)	GO_Biological_Process_2018	63	0.222993827160508	1	0.637	Kruskal-Wallis
apoptotic process (GO:0006915)	GO_Biological_Process_2018	63	0.173611111111114	1	0.677	Kruskal-Wallis
arachidonic acid metabolic process (GO:0019369)	GO_Biological_Process_2018	63	0.00482253086420315	1	0.945	Kruskal-Wallis
aromatic amino acid family catabolic process (GO:0009074)	GO_Biological_Process_2018	63	0.0493827160493936	1	0.824	Kruskal-Wallis
Arp2/3 complex-mediated actin nucleation (GO:0034314)	GO_Biological_Process_2018	63	0.648919753086432	1	0.42	Kruskal-Wallis
artery development (GO:0060840)	GO_Biological_Process_2018	63	0.222993827160508	1	0.637	Kruskal-Wallis
artery morphogenesis (GO:0048844)	GO_Biological_Process_2018	63	0.130401234567898	1	0.718	Kruskal-Wallis
aspartate family amino acid catabolic process (GO:0009068)	GO_Biological_Process_2018	63	0.40817901234567	1	0.523	Kruskal-Wallis
ATP biosynthetic process (GO:0006754)	GO_Biological_Process_2018	63	1	1	0.317	Kruskal-Wallis
ATP generation from ADP (GO:0006757)	GO_Biological_Process_2018	63	2.640625	1	0.104	Kruskal-Wallis
ATP metabolic process (GO:0046034)	GO_Biological_Process_2018	63	0.501736111111114	1	0.479	Kruskal-Wallis
ATP-dependent chromatin remodeling (GO:0043044)	GO_Biological_Process_2018	63	0.0625	1	0.803	Kruskal-Wallis
atrioventricular valve morphogenesis (GO:0003181)	GO_Biological_Process_2018	63	0.140625	1	0.708	Kruskal-Wallis
autonomic nervous system development (GO:0048483)	GO_Biological_Process_2018	63	0.0933641975308888	1	0.76	Kruskal-Wallis
autophagosome assembly (GO:0000045)	GO_Biological_Process_2018	63	0.463155864197546	1	0.496	Kruskal-Wallis
autophagosome maturation (GO:0097352)	GO_Biological_Process_2018	63	0.111111111111114	1	0.739	Kruskal-Wallis
autophagosome organization (GO:1905037)	GO_Biological_Process_2018	63	0.23630401234567	1	0.627	Kruskal-Wallis
autophagy of mitochondrion (GO:0000422)	GO_Biological_Process_2018	63	0.0326003086419746	1	0.857	Kruskal-Wallis
autophagy of nucleus (GO:0044804)	GO_Biological_Process_2018	63	0.26408179012347	1	0.607	Kruskal-Wallis
axon development (GO:0061564)	GO_Biological_Process_2018	63	1.74093364197532	1	0.187	Kruskal-Wallis
axon extension (GO:0048675)	GO_Biological_Process_2018	63	1.46006944444446	1	0.227	Kruskal-Wallis
axon guidance (GO:0007411)	GO_Biological_Process_2018	63	0.482253086419774	1	0.487	Kruskal-Wallis
axonal transport (GO:0098930)	GO_Biological_Process_2018	63	0.891975308641975	1	0.345	Kruskal-Wallis
axonemal dynein complex assembly (GO:0070286)	GO_Biological_Process_2018	63	2.73167438271605	1	0.0984	Kruskal-Wallis
axoneme assembly (GO:0035082)	GO_Biological_Process_2018	63	2.91840277777777	1	0.0876	Kruskal-Wallis
axonogenesis (GO:0007409)	GO_Biological_Process_2018	63	1.17361111111111	1	0.279	Kruskal-Wallis
B cell activation (GO:0042113)	GO_Biological_Process_2018	63	0.000771604938250903	1	0.978	Kruskal-Wallis
B cell differentiation (GO:0030183)	GO_Biological_Process_2018	63	0.0378086419753174	1	0.846	Kruskal-Wallis
B cell proliferation (GO:0042100)	GO_Biological_Process_2018	63	0.0192901234568126	1	0.89	Kruskal-Wallis
B cell receptor signaling pathway (GO:0050853)	GO_Biological_Process_2018	63	1.74093364197532	1	0.187	Kruskal-Wallis
base conversion or substitution editing (GO:0016553)	GO_Biological_Process_2018	63	0.293402777777771	1	0.588	Kruskal-Wallis
base-excision repair (GO:0006284)	GO_Biological_Process_2018	63	0.583526234567898	1	0.445	Kruskal-Wallis
beta-catenin destruction complex disassembly (GO:1904886)	GO_Biological_Process_2018	63	1	1	0.317	Kruskal-Wallis
beta-catenin-TCF complex assembly (GO:1904837)	GO_Biological_Process_2018	63	1.14371141975309	1	0.285	Kruskal-Wallis
bicarbonate transport (GO:0015701)	GO_Biological_Process_2018	63	1.23456790123456	1	0.267	Kruskal-Wallis
bicellular tight junction assembly (GO:0070830)	GO_Biological_Process_2018	63	4.63445216049382	1	0.0313	Kruskal-Wallis
bile acid and bile salt transport (GO:0015721)	GO_Biological_Process_2018	63	0.790123456790155	1	0.374	Kruskal-Wallis
bile acid biosynthetic process (GO:0006699)	GO_Biological_Process_2018	63	0.0326003086419746	1	0.857	Kruskal-Wallis
bile acid metabolic process (GO:0008206)	GO_Biological_Process_2018	63	0.00308641975308888	1	0.956	Kruskal-Wallis
blood circulation (GO:0008015)	GO_Biological_Process_2018	63	0.00945216049382225	1	0.923	Kruskal-Wallis
blood vessel endothelial cell migration (GO:0043534)	GO_Biological_Process_2018	63	0.173611111111114	1	0.677	Kruskal-Wallis
BMP signaling pathway (GO:0030509)	GO_Biological_Process_2018	63	0.815007716049394	1	0.367	Kruskal-Wallis
body fluid secretion (GO:0007589)	GO_Biological_Process_2018	63	0.521604938271565	1	0.47	Kruskal-Wallis
bone development (GO:0060348)	GO_Biological_Process_2018	63	0.162229938271565	1	0.687	Kruskal-Wallis
bone morphogenesis (GO:0060349)	GO_Biological_Process_2018	63	0.583526234567898	1	0.445	Kruskal-Wallis
brain development (GO:0007420)	GO_Biological_Process_2018	63	1.81500771604939	1	0.178	Kruskal-Wallis
branched-chain amino acid catabolic process (GO:0009083)	GO_Biological_Process_2018	63	0.015625	1	0.901	Kruskal-Wallis
branched-chain amino acid metabolic process (GO:0009081)	GO_Biological_Process_2018	63	0.0850694444444571	1	0.771	Kruskal-Wallis
branching involved in ureteric bud morphogenesis (GO:0001658)	GO_Biological_Process_2018	63	0.0123456790123271	1	0.912	Kruskal-Wallis
branching morphogenesis of an epithelial tube (GO:0048754)	GO_Biological_Process_2018	63	0.815007716049394	1	0.367	Kruskal-Wallis
C-terminal protein amino acid modification (GO:0018410)	GO_Biological_Process_2018	63	1.59741512345681	1	0.206	Kruskal-Wallis
C-terminal protein lipidation (GO:0006501)	GO_Biological_Process_2018	63	0.918402777777771	1	0.338	Kruskal-Wallis
C21-steroid hormone metabolic process (GO:0008207)	GO_Biological_Process_2018	63	2.77777777777777	1	0.0956	Kruskal-Wallis
calcium ion homeostasis (GO:0055074)	GO_Biological_Process_2018	63	0.0192901234568126	1	0.89	Kruskal-Wallis
calcium ion import (GO:0070509)	GO_Biological_Process_2018	63	0	1	1	Kruskal-Wallis
calcium ion transmembrane import into cytosol (GO:0097553)	GO_Biological_Process_2018	63	0.671489197530889	1	0.413	Kruskal-Wallis
calcium ion transmembrane transport (GO:0070588)	GO_Biological_Process_2018	63	0.162229938271565	1	0.687	Kruskal-Wallis
calcium ion transport (GO:0006816)	GO_Biological_Process_2018	63	0.015625	1	0.901	Kruskal-Wallis
calcium ion transport into cytosol (GO:0060402)	GO_Biological_Process_2018	63	2.2085262345679	1	0.137	Kruskal-Wallis
calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules (GO:0016339)	GO_Biological_Process_2018	63	0.604938271604908	1	0.437	Kruskal-Wallis
calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules (GO:0016338)	GO_Biological_Process_2018	63	1.81500771604939	1	0.178	Kruskal-Wallis
calcium-mediated signaling (GO:0019722)	GO_Biological_Process_2018	63	0.0933641975308888	1	0.76	Kruskal-Wallis
calcium-mediated signaling using intracellular calcium source (GO:0035584)	GO_Biological_Process_2018	63	0.482253086419774	1	0.487	Kruskal-Wallis
camera-type eye development (GO:0043010)	GO_Biological_Process_2018	63	0.0850694444444571	1	0.771	Kruskal-Wallis
cAMP metabolic process (GO:0046058)	GO_Biological_Process_2018	63	0.501736111111114	1	0.479	Kruskal-Wallis
cAMP-mediated signaling (GO:0019933)	GO_Biological_Process_2018	63	0.25	1	0.617	Kruskal-Wallis
canonical glycolysis (GO:0061621)	GO_Biological_Process_2018	63	0.0696373456790127	1	0.792	Kruskal-Wallis
canonical Wnt signaling pathway (GO:0060070)	GO_Biological_Process_2018	63	0.0123456790123271	1	0.912	Kruskal-Wallis
carbohydrate biosynthetic process (GO:0016051)	GO_Biological_Process_2018	63	0.32426697530866	1	0.569	Kruskal-Wallis
carbohydrate catabolic process (GO:0016052)	GO_Biological_Process_2018	63	0.0557484567901554	1	0.813	Kruskal-Wallis
carbohydrate derivative biosynthetic process (GO:1901137)	GO_Biological_Process_2018	63	0.162229938271565	1	0.687	Kruskal-Wallis
carbohydrate homeostasis (GO:0033500)	GO_Biological_Process_2018	63	2.73167438271605	1	0.0984	Kruskal-Wallis
carboxylic acid biosynthetic process (GO:0046394)	GO_Biological_Process_2018	63	0.604938271604908	1	0.437	Kruskal-Wallis
carboxylic acid catabolic process (GO:0046395)	GO_Biological_Process_2018	63	1.5625	1	0.211	Kruskal-Wallis
carboxylic acid metabolic process (GO:0019752)	GO_Biological_Process_2018	63	0.173611111111114	1	0.677	Kruskal-Wallis
carboxylic acid transmembrane transport (GO:1905039)	GO_Biological_Process_2018	63	2.12673611111111	1	0.145	Kruskal-Wallis
carboxylic acid transport (GO:0046942)	GO_Biological_Process_2018	63	6.8179012345679	1	0.00902	Kruskal-Wallis
cardiac atrium morphogenesis (GO:0003209)	GO_Biological_Process_2018	63	0.151234567901241	1	0.697	Kruskal-Wallis
cardiac epithelial to mesenchymal transition (GO:0060317)	GO_Biological_Process_2018	63	1.36111111111111	1	0.243	Kruskal-Wallis
cardiac muscle cell action potential (GO:0086001)	GO_Biological_Process_2018	63	0.626736111111114	1	0.429	Kruskal-Wallis
cardiac muscle cell action potential involved in contraction (GO:0086002)	GO_Biological_Process_2018	63	3.26003086419752	1	0.071	Kruskal-Wallis
cardiac muscle cell contraction (GO:0086003)	GO_Biological_Process_2018	63	1.63271604938271	1	0.201	Kruskal-Wallis
cardiac muscle cell development (GO:0055013)	GO_Biological_Process_2018	63	0.162229938271565	1	0.687	Kruskal-Wallis
cardiac muscle cell differentiation (GO:0055007)	GO_Biological_Process_2018	63	1.5625	1	0.211	Kruskal-Wallis
cardiac muscle contraction (GO:0060048)	GO_Biological_Process_2018	63	0.5625	1	0.453	Kruskal-Wallis
cardiac muscle tissue development (GO:0048738)	GO_Biological_Process_2018	63	0.222993827160508	1	0.637	Kruskal-Wallis
cardiac muscle tissue morphogenesis (GO:0055008)	GO_Biological_Process_2018	63	0.463155864197546	1	0.496	Kruskal-Wallis
cardiac myofibril assembly (GO:0055003)	GO_Biological_Process_2018	63	1.39371141975309	1	0.238	Kruskal-Wallis
cardiac ventricle development (GO:0003231)	GO_Biological_Process_2018	63	0.356674382716051	1	0.55	Kruskal-Wallis
cardiac ventricle morphogenesis (GO:0003208)	GO_Biological_Process_2018	63	0.30864197530866	1	0.579	Kruskal-Wallis
cargo loading into vesicle (GO:0035459)	GO_Biological_Process_2018	63	0.840277777777771	1	0.359	Kruskal-Wallis
cartilage development (GO:0051216)	GO_Biological_Process_2018	63	0.00173611111111427	1	0.967	Kruskal-Wallis
catecholamine metabolic process (GO:0006584)	GO_Biological_Process_2018	63	0.023341049382708	1	0.879	Kruskal-Wallis
cation transmembrane transport (GO:0098655)	GO_Biological_Process_2018	63	0.0434027777777715	1	0.835	Kruskal-Wallis
cation transport (GO:0006812)	GO_Biological_Process_2018	63	1.265625	1	0.261	Kruskal-Wallis
cell chemotaxis (GO:0060326)	GO_Biological_Process_2018	63	0.0557484567901554	1	0.813	Kruskal-Wallis
cell cycle G1/S phase transition (GO:0044843)	GO_Biological_Process_2018	63	2.04648919753089	1	0.153	Kruskal-Wallis
cell cycle G2/M phase transition (GO:0044839)	GO_Biological_Process_2018	63	0.604938271604908	1	0.437	Kruskal-Wallis
cell junction assembly (GO:0034329)	GO_Biological_Process_2018	63	0.717785493827165	1	0.397	Kruskal-Wallis
cell morphogenesis (GO:0000902)	GO_Biological_Process_2018	63	3.46373456790124	1	0.0627	Kruskal-Wallis
cell morphogenesis involved in differentiation (GO:0000904)	GO_Biological_Process_2018	63	0.173611111111114	1	0.677	Kruskal-Wallis
cell morphogenesis involved in neuron differentiation (GO:0048667)	GO_Biological_Process_2018	63	3.21006944444446	1	0.0732	Kruskal-Wallis
cell projection assembly (GO:0030031)	GO_Biological_Process_2018	63	0.0933641975308888	1	0.76	Kruskal-Wallis
cell-cell adhesion mediated by cadherin (GO:0044331)	GO_Biological_Process_2018	63	2.00694444444446	1	0.157	Kruskal-Wallis
cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	GO_Biological_Process_2018	63	0.120563271604908	1	0.728	Kruskal-Wallis
cell-cell junction assembly (GO:0007043)	GO_Biological_Process_2018	63	3.94463734567901	1	0.047	Kruskal-Wallis
cell-cell junction organization (GO:0045216)	GO_Biological_Process_2018	63	1.59741512345681	1	0.206	Kruskal-Wallis
cell-matrix adhesion (GO:0007160)	GO_Biological_Process_2018	63	0.185378086419774	1	0.667	Kruskal-Wallis
cell-substrate adherens junction assembly (GO:0007045)	GO_Biological_Process_2018	63	1.23456790123456	1	0.267	Kruskal-Wallis
cellular amide metabolic process (GO:0043603)	GO_Biological_Process_2018	63	0.102044753086432	1	0.749	Kruskal-Wallis
cellular amino acid biosynthetic process (GO:0008652)	GO_Biological_Process_2018	63	0.173611111111114	1	0.677	Kruskal-Wallis
cellular amino acid catabolic process (GO:0009063)	GO_Biological_Process_2018	63	0.0696373456790127	1	0.792	Kruskal-Wallis
cellular calcium ion homeostasis (GO:0006874)	GO_Biological_Process_2018	63	0.015625	1	0.901	Kruskal-Wallis
cellular defense response (GO:0006968)	GO_Biological_Process_2018	63	0.0434027777777715	1	0.835	Kruskal-Wallis
cellular divalent inorganic cation homeostasis (GO:0072503)	GO_Biological_Process_2018	63	0.162229938271565	1	0.687	Kruskal-Wallis
cellular glucose homeostasis (GO:0001678)	GO_Biological_Process_2018	63	0.00482253086420315	1	0.945	Kruskal-Wallis
cellular glucuronidation (GO:0052695)	GO_Biological_Process_2018	63	0.120563271604908	1	0.728	Kruskal-Wallis
cellular iron ion homeostasis (GO:0006879)	GO_Biological_Process_2018	63	0.130401234567898	1	0.718	Kruskal-Wallis
cellular lipid catabolic process (GO:0044242)	GO_Biological_Process_2018	63	2.37673611111111	1	0.123	Kruskal-Wallis
cellular macromolecular complex assembly (GO:0034622)	GO_Biological_Process_2018	63	0.815007716049394	1	0.367	Kruskal-Wallis
cellular macromolecule biosynthetic process (GO:0034645)	GO_Biological_Process_2018	63	0.356674382716051	1	0.55	Kruskal-Wallis
cellular macromolecule catabolic process (GO:0044265)	GO_Biological_Process_2018	63	0.891975308641975	1	0.345	Kruskal-Wallis
cellular metal ion homeostasis (GO:0006875)	GO_Biological_Process_2018	63	0.000771604938250903	1	0.978	Kruskal-Wallis
cellular modified amino acid biosynthetic process (GO:0042398)	GO_Biological_Process_2018	63	0.865933641975317	1	0.352	Kruskal-Wallis
cellular monovalent inorganic cation homeostasis (GO:0030004)	GO_Biological_Process_2018	63	0.426118827160508	1	0.514	Kruskal-Wallis
cellular nitrogen compound biosynthetic process (GO:0044271)	GO_Biological_Process_2018	63	0.00482253086420315	1	0.945	Kruskal-Wallis
cellular polysaccharide biosynthetic process (GO:0033692)	GO_Biological_Process_2018	63	0.340277777777771	1	0.56	Kruskal-Wallis
cellular polysaccharide catabolic process (GO:0044247)	GO_Biological_Process_2018	63	0.25	1	0.617	Kruskal-Wallis
cellular protein catabolic process (GO:0044257)	GO_Biological_Process_2018	63	0.30864197530866	1	0.579	Kruskal-Wallis
cellular protein complex assembly (GO:0043623)	GO_Biological_Process_2018	63	6.60204475308643	1	0.0102	Kruskal-Wallis
cellular protein complex localization (GO:0034629)	GO_Biological_Process_2018	63	2.87114197530866	1	0.0902	Kruskal-Wallis
cellular protein localization (GO:0034613)	GO_Biological_Process_2018	63	0.0123456790123271	1	0.912	Kruskal-Wallis
cellular protein metabolic process (GO:0044267)	GO_Biological_Process_2018	63	0.162229938271565	1	0.687	Kruskal-Wallis
cellular protein modification process (GO:0006464)	GO_Biological_Process_2018	63	0.0931720836482555	1	0.76	Kruskal-Wallis
cellular respiration (GO:0045333)	GO_Biological_Process_2018	63	2.55111882716051	1	0.11	Kruskal-Wallis
cellular response to acid chemical (GO:0071229)	GO_Biological_Process_2018	63	0.694444444444457	1	0.405	Kruskal-Wallis
cellular response to alcohol (GO:0097306)	GO_Biological_Process_2018	63	1.5625	1	0.211	Kruskal-Wallis
cellular response to alkaloid (GO:0071312)	GO_Biological_Process_2018	63	0.173611111111114	1	0.677	Kruskal-Wallis
cellular response to amino acid starvation (GO:0034198)	GO_Biological_Process_2018	63	1.46006944444446	1	0.227	Kruskal-Wallis
cellular response to amino acid stimulus (GO:0071230)	GO_Biological_Process_2018	63	0.741512345679013	1	0.389	Kruskal-Wallis
cellular response to ammonium ion (GO:0071242)	GO_Biological_Process_2018	63	0.293402777777771	1	0.588	Kruskal-Wallis
cellular response to amyloid-beta (GO:1904646)	GO_Biological_Process_2018	63	0.741512345679013	1	0.389	Kruskal-Wallis
cellular response to BMP stimulus (GO:0071773)	GO_Biological_Process_2018	63	0.390625	1	0.532	Kruskal-Wallis
cellular response to cadmium ion (GO:0071276)	GO_Biological_Process_2018	63	0.444444444444457	1	0.505	Kruskal-Wallis
cellular response to calcium ion (GO:0071277)	GO_Biological_Process_2018	63	4.515625	1	0.0336	Kruskal-Wallis
cellular response to cAMP (GO:0071320)	GO_Biological_Process_2018	63	2.33410493827157	1	0.127	Kruskal-Wallis
cellular response to catecholamine stimulus (GO:0071870)	GO_Biological_Process_2018	63	0.000771604938250903	1	0.978	Kruskal-Wallis
cellular response to copper ion (GO:0071280)	GO_Biological_Process_2018	63	1.36111111111111	1	0.243	Kruskal-Wallis
cellular response to corticosteroid stimulus (GO:0071384)	GO_Biological_Process_2018	63	1.32889660493825	1	0.249	Kruskal-Wallis
cellular response to cytokine stimulus (GO:0071345)	GO_Biological_Process_2018	63	0.0277777777777715	1	0.868	Kruskal-Wallis
cellular response to decreased oxygen levels (GO:0036294)	GO_Biological_Process_2018	63	0.32426697530866	1	0.569	Kruskal-Wallis
cellular response to DNA damage stimulus (GO:0006974)	GO_Biological_Process_2018	63	1.52797067901233	1	0.216	Kruskal-Wallis
cellular response to drug (GO:0035690)	GO_Biological_Process_2018	63	0.151234567901241	1	0.697	Kruskal-Wallis
