pathway	DB	n	statistic	df	p	method
alcohol dehydrogenase (NADP+) activity (GO:0008106)	GO_Molecular_Function_2018	63	0.463155864197546	1	0.496	Kruskal-Wallis
aldo-keto reductase (NADP) activity (GO:0004033)	GO_Molecular_Function_2018	63	0.501736111111114	1	0.479	Kruskal-Wallis
alkali metal ion binding (GO:0031420)	GO_Molecular_Function_2018	63	2.37673611111111	1	0.123	Kruskal-Wallis
alpha-actinin binding (GO:0051393)	GO_Molecular_Function_2018	63	0.00308641975308888	1	0.956	Kruskal-Wallis
alpha-tubulin binding (GO:0043014)	GO_Molecular_Function_2018	63	2.00694444444446	1	0.157	Kruskal-Wallis
amino acid binding (GO:0016597)	GO_Molecular_Function_2018	63	1.52797067901233	1	0.216	Kruskal-Wallis
amino acid transmembrane transporter activity (GO:0015171)	GO_Molecular_Function_2018	63	5.70679012345681	1	0.0169	Kruskal-Wallis
aminoacyl-tRNA ligase activity (GO:0004812)	GO_Molecular_Function_2018	63	1.32889660493825	1	0.249	Kruskal-Wallis
aminopeptidase activity (GO:0004177)	GO_Molecular_Function_2018	63	0.918402777777771	1	0.338	Kruskal-Wallis
ammonium transmembrane transporter activity (GO:0008519)	GO_Molecular_Function_2018	63	0.0933641975308888	1	0.76	Kruskal-Wallis
amyloid-beta binding (GO:0001540)	GO_Molecular_Function_2018	63	0.278549382716051	1	0.598	Kruskal-Wallis
androgen receptor binding (GO:0050681)	GO_Molecular_Function_2018	63	2.00694444444446	1	0.157	Kruskal-Wallis
anion channel activity (GO:0005253)	GO_Molecular_Function_2018	63	0.671489197530889	1	0.413	Kruskal-Wallis
anion transmembrane transporter activity (GO:0008509)	GO_Molecular_Function_2018	63	0.0493827160493936	1	0.824	Kruskal-Wallis
anion:anion antiporter activity (GO:0015301)	GO_Molecular_Function_2018	63	1.74093364197532	1	0.187	Kruskal-Wallis
anion:cation symporter activity (GO:0015296)	GO_Molecular_Function_2018	63	2.640625	1	0.104	Kruskal-Wallis
ankyrin binding (GO:0030506)	GO_Molecular_Function_2018	63	0.521604938271565	1	0.47	Kruskal-Wallis
antiporter activity (GO:0015297)	GO_Molecular_Function_2018	63	0.0378086419753174	1	0.846	Kruskal-Wallis
arachidonic acid epoxygenase activity (GO:0008392)	GO_Molecular_Function_2018	63	0.0378086419753174	1	0.846	Kruskal-Wallis
arachidonic acid monooxygenase activity (GO:0008391)	GO_Molecular_Function_2018	63	0.0378086419753174	1	0.846	Kruskal-Wallis
aspartic-type endopeptidase activity (GO:0004190)	GO_Molecular_Function_2018	63	0.000771604938250903	1	0.978	Kruskal-Wallis
aspartic-type peptidase activity (GO:0070001)	GO_Molecular_Function_2018	63	0.0434027777777715	1	0.835	Kruskal-Wallis
ATP binding (GO:0005524)	GO_Molecular_Function_2018	63	0.185378086419774	1	0.667	Kruskal-Wallis
ATP-dependent DNA helicase activity (GO:0004003)	GO_Molecular_Function_2018	63	0.00308641975308888	1	0.956	Kruskal-Wallis
ATP-dependent helicase activity (GO:0008026)	GO_Molecular_Function_2018	63	0.37345679012347	1	0.541	Kruskal-Wallis
ATP-dependent microtubule motor activity (GO:1990939)	GO_Molecular_Function_2018	63	2.25	1	0.134	Kruskal-Wallis
ATP-dependent microtubule motor activity, minus-end-directed (GO:0008569)	GO_Molecular_Function_2018	63	0.840277777777771	1	0.359	Kruskal-Wallis
ATP-dependent microtubule motor activity, plus-end-directed (GO:0008574)	GO_Molecular_Function_2018	63	3.26003086419752	1	0.071	Kruskal-Wallis
ATP-dependent RNA helicase activity (GO:0004004)	GO_Molecular_Function_2018	63	0.0493827160493936	1	0.824	Kruskal-Wallis
ATPase activator activity (GO:0001671)	GO_Molecular_Function_2018	63	2.16743827160491	1	0.141	Kruskal-Wallis
ATPase activity (GO:0016887)	GO_Molecular_Function_2018	63	3.88966049382717	1	0.0486	Kruskal-Wallis
ATPase activity, coupled (GO:0042623)	GO_Molecular_Function_2018	63	4.39834104938268	1	0.036	Kruskal-Wallis
ATPase activity, coupled to movement of substances (GO:0043492)	GO_Molecular_Function_2018	63	2.640625	1	0.104	Kruskal-Wallis
ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism (GO:0015662)	GO_Molecular_Function_2018	63	0.5625	1	0.453	Kruskal-Wallis
ATPase activity, coupled to transmembrane movement of ions, rotational mechanism (GO:0044769)	GO_Molecular_Function_2018	63	1.63271604938271	1	0.201	Kruskal-Wallis
ATPase activity, coupled to transmembrane movement of substances (GO:0042626)	GO_Molecular_Function_2018	63	2.77777777777777	1	0.0956	Kruskal-Wallis
ATPase binding (GO:0051117)	GO_Molecular_Function_2018	63	0.0192901234568126	1	0.89	Kruskal-Wallis
ATPase coupled ion transmembrane transporter activity (GO:0042625)	GO_Molecular_Function_2018	63	1.265625	1	0.261	Kruskal-Wallis
ATPase regulator activity (GO:0060590)	GO_Molecular_Function_2018	63	1.36111111111111	1	0.243	Kruskal-Wallis
AU-rich element binding (GO:0017091)	GO_Molecular_Function_2018	63	0.717785493827165	1	0.397	Kruskal-Wallis
basal RNA polymerase II transcription machinery binding (GO:0001099)	GO_Molecular_Function_2018	63	1.20389660493825	1	0.273	Kruskal-Wallis
beta-tubulin binding (GO:0048487)	GO_Molecular_Function_2018	63	2.68595679012347	1	0.101	Kruskal-Wallis
bHLH transcription factor binding (GO:0043425)	GO_Molecular_Function_2018	63	2.91840277777777	1	0.0876	Kruskal-Wallis
bicarbonate transmembrane transporter activity (GO:0015106)	GO_Molecular_Function_2018	63	1.70447530864197	1	0.192	Kruskal-Wallis
bile acid transmembrane transporter activity (GO:0015125)	GO_Molecular_Function_2018	63	0.00694444444445708	1	0.934	Kruskal-Wallis
bitter taste receptor activity (GO:0033038)	GO_Molecular_Function_2018	63	0.197530864197546	1	0.657	Kruskal-Wallis
cadherin binding (GO:0045296)	GO_Molecular_Function_2018	63	0.210069444444457	1	0.647	Kruskal-Wallis
cadherin binding involved in cell-cell adhesion (GO:0098641)	GO_Molecular_Function_2018	63	0.0326003086419746	1	0.857	Kruskal-Wallis
calcium activated cation channel activity (GO:0005227)	GO_Molecular_Function_2018	63	0.945216049382708	1	0.331	Kruskal-Wallis
calcium channel activity (GO:0005262)	GO_Molecular_Function_2018	63	0.26408179012347	1	0.607	Kruskal-Wallis
calcium channel regulator activity (GO:0005246)	GO_Molecular_Function_2018	63	2.46315586419755	1	0.117	Kruskal-Wallis
calcium ion binding (GO:0005509)	GO_Molecular_Function_2018	63	0.173611111111114	1	0.677	Kruskal-Wallis
calcium ion transmembrane transporter activity (GO:0015085)	GO_Molecular_Function_2018	63	0.463155864197546	1	0.496	Kruskal-Wallis
calcium-activated potassium channel activity (GO:0015269)	GO_Molecular_Function_2018	63	0.583526234567898	1	0.445	Kruskal-Wallis
calcium-dependent cysteine-type endopeptidase activity (GO:0004198)	GO_Molecular_Function_2018	63	1.265625	1	0.261	Kruskal-Wallis
calcium-dependent phospholipid binding (GO:0005544)	GO_Molecular_Function_2018	63	1.890625	1	0.169	Kruskal-Wallis
calcium-release channel activity (GO:0015278)	GO_Molecular_Function_2018	63	0.340277777777771	1	0.56	Kruskal-Wallis
calmodulin-dependent protein kinase activity (GO:0004683)	GO_Molecular_Function_2018	63	0.521604938271565	1	0.47	Kruskal-Wallis
carboxy-lyase activity (GO:0016831)	GO_Molecular_Function_2018	63	0.25	1	0.617	Kruskal-Wallis
carboxylic acid binding (GO:0031406)	GO_Molecular_Function_2018	63	2.04648919753089	1	0.153	Kruskal-Wallis
carboxylic acid transmembrane transporter activity (GO:0046943)	GO_Molecular_Function_2018	63	8.75173611111111	1	0.00309	Kruskal-Wallis
carboxylic ester hydrolase activity (GO:0052689)	GO_Molecular_Function_2018	63	0.0123456790123271	1	0.912	Kruskal-Wallis
carboxypeptidase activity (GO:0004180)	GO_Molecular_Function_2018	63	0.278549382716051	1	0.598	Kruskal-Wallis
cation channel activity (GO:0005261)	GO_Molecular_Function_2018	63	0.0850694444444571	1	0.771	Kruskal-Wallis
cation transmembrane transporter activity (GO:0008324)	GO_Molecular_Function_2018	63	0.00945216049382225	1	0.923	Kruskal-Wallis
cation-transporting ATPase activity (GO:0019829)	GO_Molecular_Function_2018	63	1.05632716049382	1	0.304	Kruskal-Wallis
CCR chemokine receptor binding (GO:0048020)	GO_Molecular_Function_2018	63	0.130401234567898	1	0.718	Kruskal-Wallis
channel activity (GO:0015267)	GO_Molecular_Function_2018	63	0.815007716049394	1	0.367	Kruskal-Wallis
chemokine activity (GO:0008009)	GO_Molecular_Function_2018	63	0.37345679012347	1	0.541	Kruskal-Wallis
chemokine binding (GO:0019956)	GO_Molecular_Function_2018	63	0.00173611111111427	1	0.967	Kruskal-Wallis
chemokine receptor activity (GO:0004950)	GO_Molecular_Function_2018	63	0.000771604938250903	1	0.978	Kruskal-Wallis
chemokine receptor binding (GO:0042379)	GO_Molecular_Function_2018	63	0.32426697530866	1	0.569	Kruskal-Wallis
chloride channel activity (GO:0005254)	GO_Molecular_Function_2018	63	1.02797067901233	1	0.311	Kruskal-Wallis
chloride transmembrane transporter activity (GO:0015108)	GO_Molecular_Function_2018	63	1.05632716049382	1	0.304	Kruskal-Wallis
cholesterol binding (GO:0015485)	GO_Molecular_Function_2018	63	0.0277777777777715	1	0.868	Kruskal-Wallis
cholesterol transporter activity (GO:0017127)	GO_Molecular_Function_2018	63	0.111111111111114	1	0.739	Kruskal-Wallis
CoA hydrolase activity (GO:0016289)	GO_Molecular_Function_2018	63	0.0771604938271651	1	0.781	Kruskal-Wallis
collagen binding (GO:0005518)	GO_Molecular_Function_2018	63	0.918402777777771	1	0.338	Kruskal-Wallis
copper ion binding (GO:0005507)	GO_Molecular_Function_2018	63	0.501736111111114	1	0.479	Kruskal-Wallis
core promoter binding (GO:0001047)	GO_Molecular_Function_2018	63	1.14371141975309	1	0.285	Kruskal-Wallis
core promoter proximal region DNA binding (GO:0001159)	GO_Molecular_Function_2018	63	0.00694444444445708	1	0.934	Kruskal-Wallis
core promoter proximal region sequence-specific DNA binding (GO:0000987)	GO_Molecular_Function_2018	63	1.20389660493825	1	0.273	Kruskal-Wallis
core promoter sequence-specific DNA binding (GO:0001046)	GO_Molecular_Function_2018	63	1.52797067901233	1	0.216	Kruskal-Wallis
CXCR chemokine receptor binding (GO:0045236)	GO_Molecular_Function_2018	63	0.023341049382708	1	0.879	Kruskal-Wallis
cyclic nucleotide binding (GO:0030551)	GO_Molecular_Function_2018	63	4.75482253086417	1	0.0292	Kruskal-Wallis
cyclin-dependent protein kinase activity (GO:0097472)	GO_Molecular_Function_2018	63	3.16049382716051	1	0.0754	Kruskal-Wallis
cyclin-dependent protein serine/threonine kinase activity (GO:0004693)	GO_Molecular_Function_2018	63	2.41975308641977	1	0.12	Kruskal-Wallis
cyclin-dependent protein serine/threonine kinase regulator activity (GO:0016538)	GO_Molecular_Function_2018	63	0.23630401234567	1	0.627	Kruskal-Wallis
cysteine-type endopeptidase activator activity involved in apoptotic process (GO:0008656)	GO_Molecular_Function_2018	63	0.00173611111111427	1	0.967	Kruskal-Wallis
cysteine-type endopeptidase activity (GO:0004197)	GO_Molecular_Function_2018	63	2.91840277777777	1	0.0876	Kruskal-Wallis
cysteine-type endopeptidase activity involved in apoptotic process (GO:0097153)	GO_Molecular_Function_2018	63	1.02797067901233	1	0.311	Kruskal-Wallis
cysteine-type endopeptidase inhibitor activity (GO:0004869)	GO_Molecular_Function_2018	63	0.865933641975317	1	0.352	Kruskal-Wallis
cysteine-type endopeptidase inhibitor activity involved in apoptotic process (GO:0043027)	GO_Molecular_Function_2018	63	0.197530864197546	1	0.657	Kruskal-Wallis
cysteine-type peptidase activity (GO:0008234)	GO_Molecular_Function_2018	63	1.77777777777777	1	0.182	Kruskal-Wallis
cytokine activity (GO:0005125)	GO_Molecular_Function_2018	63	0.521604938271565	1	0.47	Kruskal-Wallis
cytokine receptor activity (GO:0004896)	GO_Molecular_Function_2018	63	0.023341049382708	1	0.879	Kruskal-Wallis
cytokine receptor binding (GO:0005126)	GO_Molecular_Function_2018	63	0.0277777777777715	1	0.868	Kruskal-Wallis
damaged DNA binding (GO:0003684)	GO_Molecular_Function_2018	63	5.50945216049382	1	0.0189	Kruskal-Wallis
death receptor activity (GO:0005035)	GO_Molecular_Function_2018	63	0.023341049382708	1	0.879	Kruskal-Wallis
delayed rectifier potassium channel activity (GO:0005251)	GO_Molecular_Function_2018	63	0.30864197530866	1	0.579	Kruskal-Wallis
deoxyribonuclease activity (GO:0004536)	GO_Molecular_Function_2018	63	3.78086419753086	1	0.0518	Kruskal-Wallis
dicarboxylic acid transmembrane transporter activity (GO:0005310)	GO_Molecular_Function_2018	63	1.890625	1	0.169	Kruskal-Wallis
disordered domain specific binding (GO:0097718)	GO_Molecular_Function_2018	63	0.293402777777771	1	0.588	Kruskal-Wallis
disulfide oxidoreductase activity (GO:0015036)	GO_Molecular_Function_2018	63	0.30864197530866	1	0.579	Kruskal-Wallis
divalent inorganic cation transmembrane transporter activity (GO:0072509)	GO_Molecular_Function_2018	63	0.25	1	0.617	Kruskal-Wallis
DNA binding (GO:0003677)	GO_Molecular_Function_2018	63	0.994229508196725	1	0.319	Kruskal-Wallis
DNA binding, bending (GO:0008301)	GO_Molecular_Function_2018	63	0.140625	1	0.708	Kruskal-Wallis
DNA helicase activity (GO:0003678)	GO_Molecular_Function_2018	63	0.390625	1	0.532	Kruskal-Wallis
DNA polymerase activity (GO:0034061)	GO_Molecular_Function_2018	63	0.130401234567898	1	0.718	Kruskal-Wallis
DNA polymerase binding (GO:0070182)	GO_Molecular_Function_2018	63	2.29185956790124	1	0.13	Kruskal-Wallis
DNA secondary structure binding (GO:0000217)	GO_Molecular_Function_2018	63	3.5679012345679	1	0.0589	Kruskal-Wallis
DNA-dependent ATPase activity (GO:0008094)	GO_Molecular_Function_2018	63	1.85262345679016	1	0.173	Kruskal-Wallis
DNA-directed 5'-3' RNA polymerase activity (GO:0003899)	GO_Molecular_Function_2018	63	2.33410493827157	1	0.127	Kruskal-Wallis
DNA-directed DNA polymerase activity (GO:0003887)	GO_Molecular_Function_2018	63	0.945216049382708	1	0.331	Kruskal-Wallis
double-stranded DNA binding (GO:0003690)	GO_Molecular_Function_2018	63	1.49382716049382	1	0.222	Kruskal-Wallis
double-stranded RNA binding (GO:0003725)	GO_Molecular_Function_2018	63	0.0493827160493936	1	0.824	Kruskal-Wallis
dynein complex binding (GO:0070840)	GO_Molecular_Function_2018	63	3.11130401234567	1	0.0778	Kruskal-Wallis
E-box binding (GO:0070888)	GO_Molecular_Function_2018	63	1.265625	1	0.261	Kruskal-Wallis
endodeoxyribonuclease activity (GO:0004520)	GO_Molecular_Function_2018	63	3.31037808641977	1	0.0688	Kruskal-Wallis
endonuclease activity (GO:0004519)	GO_Molecular_Function_2018	63	0.541859567901241	1	0.462	Kruskal-Wallis
endopeptidase activity (GO:0004175)	GO_Molecular_Function_2018	63	0.765625	1	0.382	Kruskal-Wallis
endopeptidase inhibitor activity (GO:0004866)	GO_Molecular_Function_2018	63	0.210069444444457	1	0.647	Kruskal-Wallis
endopeptidase regulator activity (GO:0061135)	GO_Molecular_Function_2018	63	1.4266975308642	1	0.232	Kruskal-Wallis
endoribonuclease activity (GO:0004521)	GO_Molecular_Function_2018	63	0.00482253086420315	1	0.945	Kruskal-Wallis
endoribonuclease activity, producing 5'-phosphomonoesters (GO:0016891)	GO_Molecular_Function_2018	63	0.25	1	0.617	Kruskal-Wallis
enhancer binding (GO:0035326)	GO_Molecular_Function_2018	63	0.0493827160493936	1	0.824	Kruskal-Wallis
enhancer sequence-specific DNA binding (GO:0001158)	GO_Molecular_Function_2018	63	0.0493827160493936	1	0.824	Kruskal-Wallis
ephrin receptor activity (GO:0005003)	GO_Molecular_Function_2018	63	0.222993827160508	1	0.637	Kruskal-Wallis
ephrin receptor binding (GO:0046875)	GO_Molecular_Function_2018	63	0.151234567901241	1	0.697	Kruskal-Wallis
epidermal growth factor receptor binding (GO:0005154)	GO_Molecular_Function_2018	63	0.648919753086432	1	0.42	Kruskal-Wallis
estrogen receptor binding (GO:0030331)	GO_Molecular_Function_2018	63	0.648919753086432	1	0.42	Kruskal-Wallis
excitatory extracellular ligand-gated ion channel activity (GO:0005231)	GO_Molecular_Function_2018	63	0.521604938271565	1	0.47	Kruskal-Wallis
exonuclease activity (GO:0004527)	GO_Molecular_Function_2018	63	1.265625	1	0.261	Kruskal-Wallis
exopeptidase activity (GO:0008238)	GO_Molecular_Function_2018	63	0.37345679012347	1	0.541	Kruskal-Wallis
exoribonuclease activity, producing 5'-phosphomonoesters (GO:0016896)	GO_Molecular_Function_2018	63	1.4266975308642	1	0.232	Kruskal-Wallis
extracellular ligand-gated ion channel activity (GO:0005230)	GO_Molecular_Function_2018	63	0.00482253086420315	1	0.945	Kruskal-Wallis
FAD binding (GO:0071949)	GO_Molecular_Function_2018	63	1.265625	1	0.261	Kruskal-Wallis
fatty acid ligase activity (GO:0015645)	GO_Molecular_Function_2018	63	4.69444444444449	1	0.0303	Kruskal-Wallis
ferrous iron binding (GO:0008198)	GO_Molecular_Function_2018	63	2.00694444444446	1	0.157	Kruskal-Wallis
fibroblast growth factor binding (GO:0017134)	GO_Molecular_Function_2018	63	0.00482253086420315	1	0.945	Kruskal-Wallis
FK506 binding (GO:0005528)	GO_Molecular_Function_2018	63	1.70447530864197	1	0.192	Kruskal-Wallis
flavin adenine dinucleotide binding (GO:0050660)	GO_Molecular_Function_2018	63	0.482253086419774	1	0.487	Kruskal-Wallis
four-way junction DNA binding (GO:0000400)	GO_Molecular_Function_2018	63	3.46373456790124	1	0.0627	Kruskal-Wallis
frizzled binding (GO:0005109)	GO_Molecular_Function_2018	63	0.0378086419753174	1	0.846	Kruskal-Wallis
G-protein beta/gamma-subunit complex binding (GO:0031683)	GO_Molecular_Function_2018	63	0.0277777777777715	1	0.868	Kruskal-Wallis
G-protein coupled amine receptor activity (GO:0008227)	GO_Molecular_Function_2018	63	0.444444444444457	1	0.505	Kruskal-Wallis
G-protein coupled chemoattractant receptor activity (GO:0001637)	GO_Molecular_Function_2018	63	0.00173611111111427	1	0.967	Kruskal-Wallis
G-protein coupled peptide receptor activity (GO:0008528)	GO_Molecular_Function_2018	63	0.0771604938271651	1	0.781	Kruskal-Wallis
G-protein coupled receptor activity (GO:0004930)	GO_Molecular_Function_2018	63	0.26408179012347	1	0.607	Kruskal-Wallis
G-protein coupled receptor binding (GO:0001664)	GO_Molecular_Function_2018	63	0.102044753086432	1	0.749	Kruskal-Wallis
GABA receptor activity (GO:0016917)	GO_Molecular_Function_2018	63	1.23456790123456	1	0.267	Kruskal-Wallis
GABA-A receptor activity (GO:0004890)	GO_Molecular_Function_2018	63	1.1141975308642	1	0.291	Kruskal-Wallis
gamma-tubulin binding (GO:0043015)	GO_Molecular_Function_2018	63	1.46006944444446	1	0.227	Kruskal-Wallis
GDP binding (GO:0019003)	GO_Molecular_Function_2018	63	0.26408179012347	1	0.607	Kruskal-Wallis
glucose transmembrane transporter activity (GO:0005355)	GO_Molecular_Function_2018	63	0.0123456790123271	1	0.912	Kruskal-Wallis
glucuronosyltransferase activity (GO:0015020)	GO_Molecular_Function_2018	63	0.32426697530866	1	0.569	Kruskal-Wallis
glutamate receptor activity (GO:0008066)	GO_Molecular_Function_2018	63	0.541859567901241	1	0.462	Kruskal-Wallis
glutamate receptor binding (GO:0035254)	GO_Molecular_Function_2018	63	0.340277777777771	1	0.56	Kruskal-Wallis
glutathione transferase activity (GO:0004364)	GO_Molecular_Function_2018	63	1.05632716049382	1	0.304	Kruskal-Wallis
growth factor activity (GO:0008083)	GO_Molecular_Function_2018	63	0.185378086419774	1	0.667	Kruskal-Wallis
growth factor receptor binding (GO:0070851)	GO_Molecular_Function_2018	63	0.717785493827165	1	0.397	Kruskal-Wallis
GTP binding (GO:0005525)	GO_Molecular_Function_2018	63	0.0434027777777715	1	0.835	Kruskal-Wallis
GTP-Rho binding (GO:0017049)	GO_Molecular_Function_2018	63	0.0625	1	0.803	Kruskal-Wallis
GTPase activator activity (GO:0005096)	GO_Molecular_Function_2018	63	0.741512345679013	1	0.389	Kruskal-Wallis
GTPase activity (GO:0003924)	GO_Molecular_Function_2018	63	0.162229938271565	1	0.687	Kruskal-Wallis
GTPase binding (GO:0051020)	GO_Molecular_Function_2018	63	1.32889660493825	1	0.249	Kruskal-Wallis
GTPase regulator activity (GO:0030695)	GO_Molecular_Function_2018	63	0.648919753086432	1	0.42	Kruskal-Wallis
guanyl ribonucleotide binding (GO:0032561)	GO_Molecular_Function_2018	63	0.815007716049394	1	0.367	Kruskal-Wallis
H4 histone acetyltransferase activity (GO:0010485)	GO_Molecular_Function_2018	63	0.0192901234568126	1	0.89	Kruskal-Wallis
helicase activity (GO:0004386)	GO_Molecular_Function_2018	63	0.583526234567898	1	0.445	Kruskal-Wallis
heme binding (GO:0020037)	GO_Molecular_Function_2018	63	0.5625	1	0.453	Kruskal-Wallis
histone acetyltransferase activity (GO:0004402)	GO_Molecular_Function_2018	63	0.741512345679013	1	0.389	Kruskal-Wallis
histone acetyltransferase binding (GO:0035035)	GO_Molecular_Function_2018	63	3.94463734567901	1	0.047	Kruskal-Wallis
histone deacetylase activity (GO:0004407)	GO_Molecular_Function_2018	63	5.25173611111114	1	0.0219	Kruskal-Wallis
histone deacetylase binding (GO:0042826)	GO_Molecular_Function_2018	63	1.14371141975309	1	0.285	Kruskal-Wallis
histone methyltransferase activity (GO:0042054)	GO_Molecular_Function_2018	63	0.604938271604908	1	0.437	Kruskal-Wallis
histone methyltransferase activity (H3-K4 specific) (GO:0042800)	GO_Molecular_Function_2018	63	2.00694444444446	1	0.157	Kruskal-Wallis
histone-lysine N-methyltransferase activity (GO:0018024)	GO_Molecular_Function_2018	63	1.32889660493825	1	0.249	Kruskal-Wallis
hormone activity (GO:0005179)	GO_Molecular_Function_2018	63	2.08641975308643	1	0.149	Kruskal-Wallis
hormone receptor binding (GO:0051427)	GO_Molecular_Function_2018	63	0.00694444444445708	1	0.934	Kruskal-Wallis
Hsp70 protein binding (GO:0030544)	GO_Molecular_Function_2018	63	4.05574845679016	1	0.044	Kruskal-Wallis
Hsp90 protein binding (GO:0051879)	GO_Molecular_Function_2018	63	0.120563271604908	1	0.728	Kruskal-Wallis
hyaluronic acid binding (GO:0005540)	GO_Molecular_Function_2018	63	2.25	1	0.134	Kruskal-Wallis
hydro-lyase activity (GO:0016836)	GO_Molecular_Function_2018	63	0.00308641975308888	1	0.956	Kruskal-Wallis
hydrogen ion transmembrane transporter activity (GO:0015078)	GO_Molecular_Function_2018	63	0.015625	1	0.901	Kruskal-Wallis
hydrogen-exporting ATPase activity (GO:0036442)	GO_Molecular_Function_2018	63	1.46006944444446	1	0.227	Kruskal-Wallis
hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances (GO:0016820)	GO_Molecular_Function_2018	63	2.08641975308643	1	0.149	Kruskal-Wallis
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides (GO:0016811)	GO_Molecular_Function_2018	63	0.444444444444457	1	0.505	Kruskal-Wallis
hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553)	GO_Molecular_Function_2018	63	0.197530864197546	1	0.657	Kruskal-Wallis
immunoglobulin receptor binding (GO:0034987)	GO_Molecular_Function_2018	63	2.96604938271605	1	0.085	Kruskal-Wallis
inorganic anion exchanger activity (GO:0005452)	GO_Molecular_Function_2018	63	0.140625	1	0.708	Kruskal-Wallis
inorganic anion transmembrane transporter activity (GO:0015103)	GO_Molecular_Function_2018	63	0.840277777777771	1	0.359	Kruskal-Wallis
insulin receptor binding (GO:0005158)	GO_Molecular_Function_2018	63	0.0771604938271651	1	0.781	Kruskal-Wallis
integrin binding (GO:0005178)	GO_Molecular_Function_2018	63	0.444444444444457	1	0.505	Kruskal-Wallis
intracellular calcium activated chloride channel activity (GO:0005229)	GO_Molecular_Function_2018	63	0.0192901234568126	1	0.89	Kruskal-Wallis
intracellular chloride channel activity (GO:0061778)	GO_Molecular_Function_2018	63	0.0192901234568126	1	0.89	Kruskal-Wallis
intramolecular oxidoreductase activity, transposing S-S bonds (GO:0016864)	GO_Molecular_Function_2018	63	0.671489197530889	1	0.413	Kruskal-Wallis
